org_id_a,org_id_b,name
GB-EDU-110051,GB-COH-09683579,NEWLANDS GIRLS' SCHOOL
GB-EDU-110058,GB-COH-07661205,THE HOLT SCHOOL
GB-EDU-110066,GB-COH-07834715,FURZE PLATT SENIOR SCHOOL
GB-EDU-110067,GB-COH-07831255,COX GREEN SCHOOL
GB-EDU-110097,GB-COH-07475515,READING SCHOOL
GB-EDU-110098,GB-COH-07721470,ST BARTHOLOMEW'S SCHOOL
GB-EDU-110100,GB-COH-07852122,DENEFIELD SCHOOL
GB-EDU-110101,GB-COH-07536795,LANGLEY GRAMMAR SCHOOL
GB-EDU-110105,GB-COH-09583593,THE WESTGATE SCHOOL
GB-EDU-110112,GB-COH-01085850,HEMDEAN HOUSE SCHOOL LIMITED
GB-EDU-110117,GB-COH-00556463,HEATHFIELD SCHOOL
GB-EDU-110120,GB-COH-01844327,ST MARY'S SCHOOL ASCOT
GB-EDU-110130,GB-COH-00677794,UPTON HOUSE SCHOOL LIMITED
GB-EDU-110136,GB-COH-01091938,LUCKLEY HOUSE SCHOOL LIMITED
GB-EDU-110138,GB-COH-01053039,LUDGROVE SCHOOL TRUST LIMITED
GB-EDU-110151,GB-COH-04243510,READING BLUE COAT SCHOOL
GB-EDU-110161,GB-COH-00623043,ETON END SCHOOL TRUST (DATCHET) LIMITED
GB-EDU-110390,GB-COH-08565187,LOUGHTON SCHOOL
GB-EDU-110485,GB-COH-07638999,JOHN HAMPDEN GRAMMAR SCHOOL
GB-EDU-110487,GB-COH-07647327,OUSEDALE SCHOOL
GB-EDU-110491,GB-COH-07633408,JOHN COLET SCHOOL
GB-EDU-110494,GB-COH-07633357,AYLESBURY HIGH SCHOOL
GB-EDU-110495,GB-COH-07694530,DR CHALLONER'S HIGH SCHOOL
GB-EDU-110499,GB-COH-07827237,HOLMER GREEN SENIOR SCHOOL
GB-EDU-110509,GB-COH-07662135,AMERSHAM SCHOOL
GB-EDU-110511,GB-COH-07538386,AYLESBURY GRAMMAR SCHOOL
GB-EDU-110514,GB-COH-07451811,DR CHALLONER'S GRAMMAR SCHOOL
GB-EDU-110528,GB-COH-08679235,BEACONSFIELD HIGH SCHOOL
GB-EDU-110529,GB-COH-07693365,THE CHALFONTS COMMUNITY COLLEGE
GB-EDU-110534,GB-COH-07743646,WADDESDON CHURCH OF ENGLAND SCHOOL
GB-EDU-110535,GB-COH-07690054,GREAT MARLOW SCHOOL
GB-EDU-110545,GB-COH-00504032,PIPERS CORNER SCHOOL
GB-EDU-110548,GB-COH-00187251,STOWE SCHOOL LIMITED
GB-EDU-110573,GB-COH-07916763,ALFRISTON SCHOOL
GB-EDU-110923,GB-COH-05977683,THE PERSE SCHOOL
GB-EDU-110924,GB-COH-06113565,THE STEPHEN PERSE FOUNDATION
GB-EDU-110925,GB-COH-04726427,KIMBOLTON SCHOOL
GB-EDU-111028,GB-COH-08407889,WORTH PRIMARY SCHOOL
GB-EDU-111398,GB-COH-08100578,NESTON HIGH SCHOOL
GB-EDU-111406,GB-COH-07404747,SANDBACH HIGH SCHOOL AND SIXTH FORM COLLEGE
GB-EDU-111455,GB-COH-07570395,THE BISHOPS' BLUE COAT CHURCH OF ENGLAND HIGH SCHOOL
GB-EDU-111476,GB-COH-06486255,SANDBACH SCHOOL
GB-EDU-111478,GB-COH-02659703,ALDERLEY EDGE SCHOOL FOR GIRLS
GB-EDU-111483,GB-COH-01298683,CRANSLEY SCHOOL LIMITED
GB-EDU-111767,GB-COH-00312473,RED HOUSE SCHOOL LIMITED
GB-EDU-111768,GB-COH-00572205,TEESSIDE HIGH SCHOOL LIMITED
GB-EDU-111769,GB-COH-04451356,YARM SCHOOL
GB-EDU-111807,GB-COH-07713374,ST IVES INFANT SCHOOL
GB-EDU-111842,GB-COH-07652476,TREWIRGIE JUNIOR SCHOOL
GB-EDU-111953,GB-COH-07770592,HARROWBARROW SCHOOL
GB-EDU-112044,GB-COH-07654298,PENRYN COLLEGE
GB-EDU-112048,GB-COH-07999988,WADEBRIDGE SCHOOL
GB-EDU-112049,GB-COH-07459742,BODMIN COLLEGE
GB-EDU-112422,GB-COH-07729759,CASTLE CARROCK SCHOOL
GB-EDU-112433,GB-COH-07715613,KIRKBY STEPHEN GRAMMAR SCHOOL
GB-EDU-112434,GB-COH-07698461,APPLEBY GRAMMAR SCHOOL
GB-EDU-112440,GB-COH-07680823,CALDEW SCHOOL
GB-EDU-112444,GB-COH-06595861,ST BEES SCHOOL
GB-EDU-112450,GB-COH-08963816,CHETWYNDE SCHOOL LIMITED
GB-EDU-112451,GB-COH-03946280,SEDBERGH SCHOOL
GB-EDU-112453,GB-COH-01894340,AUSTIN FRIARS
GB-EDU-112459,GB-COH-03272341,HUNTER HALL SCHOOL
GB-EDU-112986,GB-COH-07524069,THE ECCLESBOURNE SCHOOL
GB-EDU-112997,GB-COH-07560177,WEST PARK SCHOOL
GB-EDU-113009,GB-COH-04390219,REPTON SCHOOL
GB-EDU-113023,GB-COH-04093636,DAME CATHERINE HARPUR'S SCHOOL LIMITED
GB-EDU-113024,GB-COH-12039636,EMMANUEL SCHOOL (DERBY) LIMITED
GB-EDU-113044,GB-COH-03367515,ROYAL SCHOOL FOR THE DEAF DERBY
GB-EDU-113504,GB-COH-07554085,EXMOUTH COMMUNITY COLLEGE
GB-EDU-113525,GB-COH-07447459,CHURSTON FERRERS GRAMMAR SCHOOL
GB-EDU-113531,GB-COH-07556657,DEVONPORT HIGH SCHOOL FOR GIRLS
GB-EDU-113554,GB-COH-07548734,HAYES SCHOOL
GB-EDU-113556,GB-COH-07394671,TORQUAY BOYS' GRAMMAR SCHOOL
GB-EDU-113561,GB-COH-08331303,EXETER CATHEDRAL SCHOOL
GB-EDU-113607,GB-COH-04470478,EXETER SCHOOL
GB-EDU-113608,GB-COH-04855372,THE MAYNARD SCHOOL
GB-EDU-113617,GB-COH-02161405,PARK SCHOOL
GB-EDU-113640,GB-COH-08426682,COMBE PAFFORD SCHOOL
GB-EDU-113726,GB-COH-08425359,POKESDOWN COMMUNITY PRIMARY SCHOOL
GB-EDU-113788,GB-COH-09894699,ST MICHAEL'S CHURCH OF ENGLAND PRIMARY SCHOOL
GB-EDU-113838,GB-COH-09881224,MOORDOWN ST JOHN'S CHURCH OF ENGLAND PRIMARY SCHOOL
GB-EDU-113860,GB-COH-08059041,DORCHESTER MIDDLE SCHOOL
GB-EDU-113900,GB-COH-07745881,BOURNEMOUTH SCHOOL
GB-EDU-113905,GB-COH-07703931,BOURNEMOUTH SCHOOL FOR GIRLS
GB-EDU-113906,GB-COH-07631213,HIGHCLIFFE SCHOOL
GB-EDU-113909,GB-COH-07666111,POOLE GRAMMAR SCHOOL
GB-EDU-113912,GB-COH-00359779,CLAYESMORE SCHOOL
GB-EDU-113919,GB-COH-00306828,SHERBORNE SCHOOL FOR GIRLS
GB-EDU-113923,GB-COH-00936623,DUMPTON SCHOOL
GB-EDU-113924,GB-COH-00485057,KNIGHTON HOUSE SCHOOL LIMITED
GB-EDU-113927,GB-COH-02819354,SUNNINGHILL PREPARATORY SCHOOL LIMITED
GB-EDU-113943,GB-COH-08645246,RINGWOOD WALDORF SCHOOL
GB-EDU-113959,GB-COH-07724780,MONTACUTE SCHOOL
GB-EDU-114178,GB-COH-07658688,REID STREET PRIMARY SCHOOL
GB-EDU-114330,GB-COH-06257502,DURHAM HIGH SCHOOL FOR GIRLS
GB-EDU-114331,GB-COH-02776914,DURHAM CATHEDRAL SCHOOLS FOUNDATION
GB-EDU-114336,GB-COH-06596258,BARNARD CASTLE SCHOOL
GB-EDU-114614,GB-COH-00007663,BRIGHTON COLLEGE
GB-EDU-114625,GB-COH-00539034,MICHAEL HALL SCHOOL LIMITED
GB-EDU-114627,GB-COH-03068144,MAYFIELD SCHOOL LTD
GB-EDU-114629,GB-COH-00893985,VINEHALL SCHOOL LIMITED
GB-EDU-114645,GB-COH-01078648,NORTHEASE MANOR SCHOOL LIMITED
GB-EDU-114661,GB-COH-02395378,BRIGHTON WALDORF SCHOOL LIMITED
GB-EDU-114673,GB-COH-02763238,THE DHARMA PRIMARY SCHOOL
GB-EDU-114686,GB-COH-08410002,GLYNE GAP SCHOOL
GB-EDU-114800,GB-COH-07973327,MOULSHAM JUNIOR SCHOOL
GB-EDU-114803,GB-COH-07610916,MOULSHAM INFANT SCHOOL
GB-EDU-114846,GB-COH-08446789,HIGHWOODS COMMUNITY PRIMARY SCHOOL
GB-EDU-115046,GB-COH-08920008,GIFFARDS PRIMARY SCHOOL
GB-EDU-115209,GB-COH-08330173,HEDINGHAM SCHOOL AND SIXTH FORM
GB-EDU-115223,GB-COH-07662023,GREAT BADDOW HIGH SCHOOL
GB-EDU-115232,GB-COH-07692668,MAYFLOWER HIGH SCHOOL
GB-EDU-115251,GB-COH-07687947,JOTMANS HALL PRIMARY SCHOOL
GB-EDU-115283,GB-COH-07686371,THE ROBERT DRAKE PRIMARY SCHOOL
GB-EDU-115317,GB-COH-07347930,WESTCLIFF HIGH SCHOOL FOR BOYS LIMITED
GB-EDU-115318,GB-COH-07849731,PLUME SCHOOL
GB-EDU-115326,GB-COH-07445392,CHELMSFORD COUNTY HIGH SCHOOL FOR GIRLS
GB-EDU-115327,GB-COH-07563345,"KING EDWARD VI GRAMMAR SCHOOL, CHELMSFORD"
GB-EDU-115329,GB-COH-07694325,THURSTABLE SCHOOL SPORTS COLLEGE AND SIXTH FORM CENTRE
GB-EDU-115337,GB-COH-07633375,THE KING EDMUND SCHOOL
GB-EDU-115342,GB-COH-07540256,DAVENANT FOUNDATION SCHOOL
GB-EDU-115343,GB-COH-07552735,WILLIAM DE FERRERS SCHOOL
GB-EDU-115345,GB-COH-07696117,CHELMER VALLEY HIGH SCHOOL
GB-EDU-115359,GB-COH-07769103,COLCHESTER ROYAL GRAMMAR SCHOOL
GB-EDU-115377,GB-COH-08212425,BRENTWOOD URSULINE CONVENT HIGH SCHOOL
GB-EDU-115383,GB-COH-07898905,SHENFIELD HIGH SCHOOL
GB-EDU-115392,GB-COH-05846105,CHIGWELL SCHOOL
GB-EDU-115396,GB-COH-00898640,GOSFIELD SCHOOL LIMITED
GB-EDU-115413,GB-COH-01141073,LITTLEGARTH SCHOOL LIMITED
GB-EDU-115415,GB-COH-02071112,ST PHILOMENA'S SCHOOL LIMITED
GB-EDU-115436,GB-COH-08165830,THE CHRISTIAN SCHOOL (TAKELEY)
GB-EDU-115517,GB-COH-08322915,FOREST VIEW PRIMARY SCHOOL
GB-EDU-115524,GB-COH-07649769,GOTHERINGTON PRIMARY SCHOOL
GB-EDU-115558,GB-COH-07836684,GRETTON PRIMARY SCHOOL
GB-EDU-115579,GB-COH-07698978,CHURCHDOWN VILLAGE INFANT SCHOOL
GB-EDU-115599,GB-COH-07728265,FIELD COURT JUNIOR SCHOOL
GB-EDU-115717,GB-COH-07331954,SIR THOMAS RICH'S SCHOOL
GB-EDU-115722,GB-COH-07633215,CLEEVE SCHOOL
GB-EDU-115726,GB-COH-07705465,SEVERN VALE SCHOOL
GB-EDU-115727,GB-COH-07698037,THOMAS KEBLE SCHOOL
GB-EDU-115728,GB-COH-07707979,FARMOR'S SCHOOL
GB-EDU-115736,GB-COH-07691867,CHARLTON KINGS JUNIOR SCHOOL
GB-EDU-115746,GB-COH-08322813,SEVERNBANKS PRIMARY SCHOOL
GB-EDU-115753,GB-COH-07657741,STROUD HIGH SCHOOL
GB-EDU-115754,GB-COH-07369704,PATE'S GRAMMAR SCHOOL
GB-EDU-115755,GB-COH-07489196,THE CRYPT SCHOOL
GB-EDU-115756,GB-COH-07840060,TEWKESBURY SCHOOL
GB-EDU-115757,GB-COH-07696921,KATHARINE LADY BERKELEY'S SCHOOL
GB-EDU-115760,GB-COH-07773693,CHURCHDOWN SCHOOL
GB-EDU-115762,GB-COH-08153177,NEWENT COMMUNITY SCHOOL AND SIXTH FORM CENTRE
GB-EDU-115763,GB-COH-07550474,CHOSEN HILL SCHOOL
GB-EDU-115765,GB-COH-07680770,CHIPPING CAMPDEN SCHOOL
GB-EDU-115768,GB-COH-07606409,WINCHCOMBE SCHOOL
GB-EDU-115769,GB-COH-07524244,CHELTENHAM BOURNSIDE SCHOOL AND SIXTH FORM CENTRE
