"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"Aldbourne PCC","","","Whitton PCC","","","","2017-01-01","2017-09-18"
"Baydon PCC","","","Whitton PCC","","","","2017-01-01","2017-09-18"
"Chilton Foliat PCC","","","Whitton PCC","","","","2017-01-01","2017-09-18"
"Froxfield PCC","","","Whitton PCC","","","","2017-01-01","2017-09-18"
"Ramsbury PCC","","","Whitton PCC","","","","2017-01-01","2017-09-18"
"Aldbourne Youth Council","1122143",0,"Aldbourne Youth Council","1169711",0,"2016-07-10","2017-04-13","2017-04-21"
"Alder Hey Children's Charity","1049275",0,"Alder Hey Childrens Charity","1160661",0,"2015-01-04","2015-01-04","2017-02-27"
"Rocking Horse Appeal","1071187",0,"Alder Hey Childrens Charity","1160661",0,"2015-01-04","2015-01-04","2017-02-27"
"Imagine","1105610",0,"Alder Hey Childrens Charity","1160661",0,"2015-01-04","2015-01-04","2017-02-27"
"Aldershot, Farnborough & Camberley Methodist Circuit ( 1133239)","","","The Hants-Surrey Border Methodist Circuit","1137593",0,"","2012-01-09","2013-04-17"
"Aldford Community Church","1112710",0,"Aldford Community Church","1137483",0,"","2010-09-30","2010-05-10"
"Aldridge and Brownhills Housing Trust Limited","1108784",0,"Walsall Housing Group Limited","1108779",0,"","2009-12-01","2009-02-18"
"Alford House","303135",0,"Alford House","1123902",0,"","2008-09-26","2008-08-10"
"Alford Sports Hall Association","1052365",0,"Alford Sports Hall Association","1170819",0,"2017-01-01","2016-12-31","2018-03-26"
"Alfred Howard Lloyd","236571",0,"Bletchingley United Charities","236747",0,"","2013-01-06","2013-03-06"
"All About Audiences","1131125",0,"The Audience Agency","1149979",0,"","2012-01-12","2014-07-11"
"Audiences London Limited","1099256",0,"The Audience Agency","1149979",0,"","2012-01-12","2014-07-11"
"All Nations Pentecostal Christian Centre","1052752",0,"All Nations Christian Centre (Wolverhampton)","1123880",0,"","2010-09-30","2012-06-29"
"All Nations Revival Church Trust Fund","1012191",0,"All Nations Revival Church (Jeremiah Project)","1123225",0,"","2008-01-04","2008-09-12"
"Almshouse And Pension Charity Of Julia Norris","227949",0,"The Julia Norris Trust","1165904",0,"2016-06-20","2016-06-20","2016-11-21"
"Alton Citizens' Advice Bureau","210218",0,"East Hampshire Citizans Advice Bureau Limited","1129850",0,"","2011-04-11","2015-08-04"
"Alton Golf Club Association","1150265",0,"Alton Golf Club Association","1166738",0,"2016-10-17","2016-10-17","2017-04-28"
"Andrew McKee Memorial Fund","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Angelus Foundation","1139830",0,"Mentor Foundation UK","1112339",0,"","2016-01-11","2016-02-12"
"Animal Rescue Cumbria (The Wainwright Shelter)","1086066",0,"Animal Rescue Cumbria (The Wainwright Shelter) CIO","1153737",0,"","2014-01-01","2014-05-15"
"Animals in Need","1004095",0,"Carla Lane Animals in Need Limited","1031342",0,"","2013-06-30","2013-01-07"
"Annie Walker","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Anthony Travis Charitable Trust","1095198",0,"The Constance Travis Charitable Trust","294540",0,"2010-06-29","2010-06-29","2010-07-29"
"AONA","1007308",0,"Action on Addiction","1117988",0,"","2007-01-04","2008-07-02"
"Apsley Care Limited","311741","1","The Home Farm Trust Limited","313069",0,"","2006-02-10","2008-04-23"
"Apsley Services Limited","311741","2","The Home Farm Trust Limited","313069",0,"","2006-02-10","2008-04-23"
"Apsley Trust Limited","311741",0,"The Home Farm Trust Limited","313069",0,"","2006-02-10","2008-04-23"
"AptEd","1158255",0,"Ascentis","1129180",0,"","2015-10-16","2016-01-13"
"Arab World Ministries","214483",0,"Arab World Ministries","1059106",0,"","2006-01-11","2014-05-11"
"Ark Community Church Sutton Coldfield","1140846",0,"Ark Community Church Sutton Coldfield","1161799",0,"","2015-09-30","2015-11-16"
"ARKH (Asylum Seekers & Refugees Kingston Upon Hull)","1121669",0,"Northern Refugee Centre","1078816",0,"2013-01-04","2013-01-04","2013-08-05"
"Armley Temperance Society","227227",0,"Yorkshire Band of Hope Union","227228",0,"","2008-02-26","2009-02-03"
"Army Sailing Association","1140892",0,"Army Sailing Association","1152679",0,"2013-10-18","2014-06-19","2014-06-26"
"Arnold Schools Development Fund","526679","1","United Church Schools Trust","1016538",0,"","2008-05-30","2008-10-09"
"Arnold Schools Limited","526679",0,"United Church Schools Trust","1016538",0,"","2008-05-30","2008-10-09"
"Art And Sacred Places","1086739",0,"Art And Sacred Places","1157364",0,"","2014-01-10","2014-10-12"
"Artists' Orphan Fund","219356",0,"Artists' General Benevolent Institution","212667",0,"","2015-03-19","2015-03-25"
"Ashanti Development","1112415",0,"Ashanti Development","1133517",0,"","2010-01-01","2011-09-29"
"Ashbury Pre-School Playgroup","1047271",0,"Ashbury Pre-School PFSU","1156122",0,"2015-08-09","2013-06-02","2018-04-16"
"Ashlin's Charity","246933",0,"Cheale's Charity","246840",0,"2010-11-19","2015-06-03","2015-03-16"
"Parish Hall Fund","507833",0,"Cheale's Charity","246840",0,"2010-11-19","2015-06-03","2015-03-16"
"Ashover Parish Hall","520406",0,"Ashover Parish Hall","1165348",0,"2016-04-14","2016-03-31","2016-04-27"
"ASM Harris","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Aspergers Syndrome Access To Provision","1143269",0,"Harrow Association Of Disabled People","1080505",0,"","2018-03-16","2018-05-06"
"Aspire Choices Limited","519852",0,"Aspire Living Limited","1024904",0,"","2011-01-04","2011-04-04"
"Assembleia De Deus De Londres","1096551",0,"Assembleia De Deus De Londres","1121287",0,"","2010-03-03","2010-04-22"
"Assemblies of God Pentecostal Church (Stevenage)","1054360",0,"Wellspring Church (Watford)","1119764",0,"2017-05-19","2017-04-08","2017-04-09"
"Assembly of God Pentecostal Church","1052539",0,"Teesside International City Church","1119951",0,"","2009-03-31","2009-01-04"
"Assisted Reading for Children in Oxfordshire (ARCh)","1124632",0,"Assisted Reading for Children","1146276",0,"2012-03-23","2012-01-04","2012-04-13"
"Association for Children's Paliative Care","1075541",0,"Together for Short Lives","1144022",0,"","2011-10-20","2011-12-21"
"Association For Project Management","290927",0,"Association For Project Management","1171112",0,"","2017-01-04","2017-08-21"
"Association of Friends of Christchurch C of E Junior","296925",0,"St Saviour's School Association of Friends","289889",0,"","2011-04-10","2011-10-24"
"Association Of Friends Of Wimborne Minster","1064055",0,"The Friends Of Wimborne Minster","1163897",0,"","2016-01-07","2016-11-11"
"Association of Principals of Colleges Benevolent Fund","291477",0,"The Association of School And College Leaders Benevolent Fund","279628",0,"2014-02-14","2014-02-14","2014-02-18"
"Association Of Young People With ME Limited","1082059",0,"Action For ME","1036419",0,"2017-03-04","2017-03-04","2017-10-05"
"Atwell Wilson Motor Museum Trust","1062801",0,"Atwell Wilson Motor Museum","1139969",0,"","2011-02-28","2011-03-21"
"Audacious City Church","1120164",0,"Audacious City Church","1129633",0,"","2009-09-30","2009-11-19"
"AUD-M-ED Trust","1092387",0,"SAUD-M-ED Trust","1144233",0,"","2011-01-03","2012-02-10"
"Autistic Way","1074925",0,"Autistic Way","1137406",0,"","2010-06-14","2010-09-14"
"AVC Berwick House","277125",0,"Ashford Volunteer Centre","1066765",0,"2016-01-03","2016-01-03","2016-05-20"
"Awayforward Foundation","1145401",0,"Awayforward Foundation","1166659",0,"2016-12-08","2016-06-30","2016-08-22"
"Axminster Museum","294933",0,"Axminster Heritage Limited","1113818",0,"","2014-11-25","2014-10-12"
"Aylesbury Vale Rape Crisis","1051608",0,"Aylesbury Vale and Milton Keynes Sexual Assault and Abuse Support Service","1175021",0,"","2018-01-04","2018-06-19"
"Azadi Trust","1003118",0,"Azadi Trust","1138663",0,"2011-03-31","2011-03-31","2012-12-13"
"B E G Staniforth","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"B Harmer Recreational Trust","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Baker Dearing Educational Trust","1129510",0,"Baker Dearing Educational Trust","1138894",0,"","2010-12-31","2011-08-16"
"Bangor University Development Trust of 4 July 1984","","","Bangor University","","","2010-01-03","2010-01-03","2010-01-03"
"Barking and Dagenham Victim Support Scheme","291291",0,"Victim Support","298028",0,"","2008-01-31","2009-06-16"
"Barnet African Caribbean Association","1062195",0,"Barnet African Caribbean Association Ltd","1151068",0,"","2013-01-04","2015-12-01"
"Barnsley Christian Fellowship Trust","702570",0,"Hope House Church, Barnsley","1131876",0,"","2010-01-22","2010-03-18"
"Barnstaple Poverty Action Group","1084843",0,"Encompass Southwest","1145286",0,"2012-03-30","2012-03-30","2012-04-13"
"Barnwood House Trust","218401",0,"Barnwood Trust","1162855",0,"2015-09-30","2015-01-10","2018-05-07"
"Barrels Lightship Trust","212432","5","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Barry Trust","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Bartlett","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Basildon Arts Trust Fund","276982",0,"The Foundation For Essex Arts Limited","1146840",0,"2014-02-14","2014-01-03","2014-03-03"
"Basingstoke Advocacy Scheme","1075677",0,"Solent Mind","1081116",0,"","2011-04-20","2011-04-27"
"Basingstoke Methodist Circuit","1135855",0,"Basingstoke And Reading Methodist Circuit","1134891",0,"","2015-01-03","2015-09-04"
"BASO - The Association for Cancer Surgery","269736",0,"BASO - The Association for Cancer Surgery","1136067",0,"","2010-06-30","2010-08-23"
"Bath Hospital Broadcasts Society","258344",0,"Bath Hospital Radio","1168453",0,"","2017-01-31","2017-02-24"
"Bath Nursing Association ; Bellott's Hospital (Municipal Charities) ; L D C Trust ; St Saviour's Relief in Sickness Fund : Monmouth Street Society","201483",0,"The Hospital Of St John the Baptist with the Chapel of St Michael Annexed with St Catherine's Hospital","201476",0,"","2010-07-31","2012-04-26"
"Battlers Well Foundation","328421",0,"BW Foundation","1121549",0,"2014-11-23","2014-11-23","2015-11-25"
"Beckley & Stowood Village Hall","284347",0,"Beckley & Stowood Village Hall CIO","1167429",0,"2016-06-28","2016-06-28","2017-08-12"
"Bedford Freemen's Common Charity","257628",0,"House Of Industry Estate","257079",0,"2016-05-19","2016-08-16","2018-04-14"
"Bedford Volunteer Bureau","1086329",0,"Community and Voluntary Service (Mid and North Bedfordshire)","1091423",0,"","2010-01-04","2011-07-01"
"Bedford, Italian Congregation of Jehovah's Witnesses","1065979",0,"Bedford, Fenlake Congregation of Jehovah's Witnesses","1066001",0,"2013-01-09","2013-01-10","2014-05-28"
"Bedwade Charitable Trust","1091169",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"Beeston Volunteer Centre","506364",0,"Volunteer Centre Broxtowe","1122039",0,"2008-03-27","2008-07-05","2009-02-17"
"Belper Pentecostal Christian Centre","1052315",0,"New Derby Life","1121508",0,"","2014-07-03","2014-03-25"
"Benjamin Bennett's Bequest","220328",0,"Malbarton Sick Poor Fund","245999",0,"2012-05-07","2012-05-07","2012-12-31"
"Berkshire Family Mediation","291914",0,"Berkshire Family Mediation","1142334",0,"","2012-03-31","2012-04-25"
"Berrynarbor Manor Hall Trust","300763",0,"Berrynarbor Manor Hall Trust","1169090",0,"","2017-08-12","2018-01-03"
