"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"Nottingham Society of Artists Trust","1078062",0,"Nottingham Society of Artists Trust","1143205",0,"","2011-03-31","2011-03-08"
"Nottingham Theatre Trust Ltd","239515",0,"Nottingham Playhouse Trust Ltd","1109342",0,"","2005-06-30","2008-02-12"
"Nottingham Trent Group Of Advanced Motorists","1050429",0,"Nottingham Advanced Drivers","","","","2014-01-01","2015-08-19"
"Nottingham No 1 Group Of Advanced Motorists","1054277",0,"Nottingham Advanced Drivers","","","","2014-01-01","2015-08-19"
"Nottingham Trent Students' Union","1146609",0,"Nottingham Trent Students' Union","1154401",0,"","2013-01-11","2015-05-18"
"NSSO Trust","1068360",0,"Malvern College","527578",0,"","2016-08-02","2017-01-18"
"Nuffield Farming Scholarships Trust","261823",0,"Nuffield Farming Scholarships Trust","1098519",0,"","2008-05-23","2008-09-06"
"O M S International","245124",0,"One Mission Society","","","","2012-01-10","2018-03-16"
"OCD Action","1035213",0,"OCD Action","1154202",0,"","2014-03-31","2014-05-28"
"Odyssey Trust UK","275872",0,"Cranstoun Drug Services","1061582",0,"","2007-06-30","2009-05-22"
"Off the Streets and Into Work","1078212",0,"Crisis UK also known as Crisis","1082947",0,"","2010-01-04","2011-04-02"
"Ogwen Valley Mountain Rescue Organisation","502442",0,"Ogwen Valley Mountain Rescue CIO","1160504",0,"","2016-12-03","2016-03-16"
"Old Park Farnham Riding For The Disabled Association","1073667",0,"Farnham Riding For The Disabled Association Incorporating Carriage Driving","1161404",0,"2015-04-23","2015-04-23","2015-10-28"
"Old Portmuthian Charity","1016072",0,"The Portsmouth Grammar School","1063732",0,"","2018-01-03","2018-12-05"
"Old Ragged School Foundation","528115",0,"Alnwick Community Development Trust","1089444",0,"","2009-05-01","2009-05-01"
"Old Shorehamers Association","1079792",0,"Kennedy Independent School Trust Limited","307045",0,"","2010-10-25","2010-11-24"
"Older People's Action in the Locality","1094919",0,"Older People's Action in the Locality","1131792",0,"","2009-09-30","2009-02-10"
"Oldham Family Crisis Group","1071474",0,"Threshold Housing Project Limited","1054029",0,"2011-03-17","2011-03-17","2011-03-28"
"OMF International (BI)","226168",0,"OMF International (UK)","1086040",0,"","2009-01-07","2009-05-11"
"OMF International (BI)","226168",0,"OMF International (UK)","1086040",0,"","2009-07-01","2009-08-19"
"OMF International (UK)","1086040",0,"OMF International (UK)","1123973",0,"","2009-01-07","2010-04-29"
"One Small Step Trust","1004648",0,"The Guy's and St Thomas' Charity & Other Related Charities","251983","1","","2003-08-26","2008-03-10"
"One World Media","296335",0,"One World Media Trust","1163630",0,"","2016-01-01","2016-03-05"
"Orangutan Appeal UK","1092640",0,"Orangutan Appeal UK","1138538",0,"","2010-01-12","2011-02-02"
"Orchard Baptist Fellowship, Bicester","1129613",0,"Orchard Baptist Church","1155012",0,"2014-03-31","2014-03-31","2014-04-16"
"Oriel College Development Trust","265317",0,"Oriel College Oxford","1141976",0,"","2011-07-31","2011-05-08"
"Orphangift","1165636",0,"Acts Of Kindness Collective","1164796",0,"","2016-12-31","2017-04-21"
"Outpost Church","","","Outpost Church","1173519",0,"","2017-11-30","2018-06-06"
"Overseas Missionary Fellowship","226168","14","OMF International (UK)","1086040",0,"","2009-01-07","2009-05-11"
"Oxford and Swindon Area Quaker Meeting of the Religious Society of Friends (Quakers) in Britain","","","Oxford and Swindon Area Quaker Meeting","1137897",0,"","2010-01-01","2011-05-10"
"Oxford Diocesan Church of England Council for Social Aid","265014",0,"Oxford Diocesan Council for Social Work Incorporated","285214",0,"","2011-01-08","2011-08-23"
"Oxford Evangelical Pastorate","220669",0,"The Oxford Evangelical Pastorate","1136848",0,"","2011-12-15","2012-04-01"
"Oxford Homeless Medical Fund (OHMF)","1093336",0,"Oxford Night Shelter","297806",0,"","2006-12-13","2008-02-14"
"Oxford Homeless Medical Fund / Luther Street","1000270",0,"Oxford Homeless Medical Fund / Luther Street","1093336",0,"","2003-11-25","2009-01-05"
"Oxfordshire Play Association","276706",0,"Oxfordshire Play Association","1160320",0,"2015-03-23","2015-01-04","2015-04-13"
"P H Holt Charitable Trust","217332",0,"P H Holt Foundation","1113708",0,"","2007-03-31","2008-01-09"
"Parenting UK","1076942",0,"FamilyLives","1077722",0,"","2012-11-15","2013-06-12"
"Parish of Deepcar (Unregistered) Parish of Saint Matthias Stocksbridge (Unregistered)","","","Parish of Deepcar and Stocksbridge (Unregistered)","","","","2018-07-18","2018-11-23"
"Parson's Mead Educational Trust Limited","312062",0,"The Vernon Educational Trust Limited","269433",0,"","2006-08-31","2008-09-18"
"Pass It On Africa","1112250",0,"Pass It On Africa","1160827",0,"","2015-04-26","2015-05-05"
"Pata","293773",0,"Pata (UK)","1124222",0,"","2010-03-31","2010-12-15"
"PCC of All Saints, Roffey  PCC St Saviour's , Colgate","","","PCC of Roffey and Colgate","","","","2017-09-20","2018-05-21"
"Pelham Trust","1146828",0,"The Pelham CIO","1158364",0,"2015-04-30","2015-11-30","2015-02-12"
"Pension Fund Readers","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Perry Group Riding For The Disabled Association","1074005",0,"Perry RDA Limited","1163030",0,"","2018-01-24","2018-07-04"
"Peter Collins Charitable Trust","1025621",0,"Beryl Collins Charitable Trust","1025865",0,"2013-02-28","2013-12-03","2013-03-28"
"Peterborough Mencap Society","213097",0,"Cambridgeshire Mencap Society","1030968",0,"","2008-01-11","2008-04-11"
"Peterborough Sculpture Trust","801285",0,"Vivacity Culture and Leisure","1138230",0,"","2014-03-31","2014-01-04"
"Peter's House Projects","1049603",0,"Developing Health and Independence","1078154",0,"","2014-02-20","2014-06-03"
"Petersfield And District Citizens Advice Bureau","1119090",0,"East Hampshire Citizans Advice Bureau Limited","1129850",0,"","2010-12-21","2015-08-04"
"Petra Christian Fellowship Trust","1097960",0,"Five Valleys Christian Fellowship","1124934",0,"","2011-12-20","2012-04-01"
"Pheasey / Park Farm Community Association","522761",0,"The Pheasey Community Hub","1166814",0,"2016-06-06","2016-01-07","2016-11-07"
"Philip Green Memorial Trust","293156",0,"The Cyril Paskin Memorial Trust","1151610",0,"2013-05-20","2013-06-30","2013-01-07"
"Pillaton Village Hall","284234",0,"Pillaton Village Hall CIO","1171103",0,"2017-03-31","2017-03-31","2017-04-26"
"Pinderfields Spinal Injuries Centre","700931",0,"Pinderfields Spinal Injuries Centre Limited","1124338",0,"","2008-12-31","2008-12-31"
"Pink Champagne Dragon Boat Team","1127692",0,"Pink Champagne Breast Cancer Survivors' Dragon Boat Team","1172801",0,"2017-06-28","2017-06-28","2017-09-21"
"Plains Farm and Humbledon Community Initiative Limited","1112502",0,"Youth Almighty Project","1136975",0,"2013-05-06","2013-05-06","2013-05-06"
"Play-Train","1003474",0,"KIDS","275936",0,"","2013-01-08","2015-06-11"
"Plymouth","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Pocklington School Performing Arts Trust","1081341",0,"The Pocklington School Foundation","529834",0,"","2011-07-04","2011-06-23"
"Poistive Parenting Publications & Programmes","1053361",0,"Care for the Family","1066905",0,"","2009-04-11","2010-04-16"
"Polegate Quaker Trust","1098322",0,"Bernhard Baron Cottage Homes","1070891",0,"","2014-03-09","2014-05-09"
"Polish Air Force Association Benevolent Fund","1052651","1","Polish Air Force Association Charitable Trust 1995","1052651",0,"","2008-07-08","2008-11-08"
"Pontypridd Lanwood Congregation","1065384",0,"Pontypridd Congregation of Jehovah's Witnesses","1065464",0,"2013-05-20","2013-01-07","2013-01-07"
"Poole Sailability","1126442",0,"Poole Sailability","1166542",0,"2016-08-16","2016-08-16","2017-08-03"
"Poor Relief Fund","230631",0,"The Parochial Church Council Of The Ecclesiastical Parish Of Herne Hill","1134045",0,"","2013-06-20","2013-06-27"
"Charity Of Dr Richard William Garnham","230628",0,"The Parochial Church Council Of The Ecclesiastical Parish Of Herne Hill","1134045",0,"","2013-06-20","2013-06-27"
"Charity Of Henry William Segeleke","230629",0,"The Parochial Church Council Of The Ecclesiastical Parish Of Herne Hill","1134045",0,"","2013-06-20","2013-06-27"
"Charity Of James John Masters","230630",0,"The Parochial Church Council Of The Ecclesiastical Parish Of Herne Hill","1134045",0,"","2013-06-20","2013-06-27"
"Poors Allotments","232893",0,"Allotments For The Poor Of The Parish Of Upwood","264373",0,"2014-07-07","2014-08-19","2014-08-22"
"Porter District Scout Council","514142",0,"Sheffield Hallam District Scout Council","1025483",0,"","2008-10-17","2008-10-21"
"Porthmadog Evangelical Christian Fellowship","","","Capel Fron","1174601",0,"","2018-01-01","2018-04-16"
"Portland House","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Positive Action On Cancer/PAC","1095533",0,"Positive Action On Cancer","1156001",0,"2014-03-29","2014-03-31","2015-10-28"
"Priory House Charity","1112531",0,"The Parochial Church Council Of The Ecclesiastical Parish Of Christchurch Holy Trinity","1130918",0,"2014-11-28","2014-11-30","2014-08-12"
"Prisoners Families And Friends Service","251847",0,"Prison Advice And Care Trust (PACT)","219278",0,"","2014-01-06","2014-10-06"
"ProBonoUK.net Limited","1097790",0,"The National Pro Bono Centre","1137708",0,"2013-05-31","2013-05-31","2013-08-07"
"Proceeds of sale of certain trust property held in connection with The Mission to Seamen","212432","8","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Proceeds of sale of certain trust property held in connection with The Mission to Seamen","212432","9","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Proceeds of sale of the Bristol Seamens Institute Trust","212432","1","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Pro-Dogs","275574",0,"The Kennel Club Charitable Trust","327802",0,"","2005-10-25","2008-01-30"
"Professional Footballers Association Educational Fund","306087",0,"The Professional Footballers' Association Charity","1150458",0,"","2014-06-30","2016-02-15"
"The PFA Benevolent Fund","1056012",0,"The Professional Footballers' Association Charity","1150458",0,"","2014-06-30","2016-02-15"
"Property Held In Connection With The Colne Blind Prevention & Aid Society","222632",0,"The Guide Dogs For The Blind Association","209617",0,"","2016-05-16","2016-06-30"
"Prostate Cancer Support Federation","1123373",0,"The National Federation Of Prostate Cancer Support Groups","1163152",0,"","2015-12-31","2016-10-02"
"Prostrate Research Campaign UK","1037063",0,"Prostrate Action","1135297",0,"","2010-07-16","2010-04-11"
"PSC Support","1115615",0,"PSC Support","1175427",0,"2018-02-17","2018-02-18","2018-06-15"
"PT1","519882",0,"The Pankhurst Trust (Incorporating Manchester Women's Aid)","1126433",0,"","2014-06-23","2014-06-30"
"Quantock Provident Trust","1023709",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"Quivers and Quavers","1144167",0,"Parkinson's Disease Society of the United Kingdom","258197",0,"2013-01-01","2013-01-01","2013-02-05"
"R Emrys Jones Lecture Trust Fund","1125485","10","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"RA (Charities) General Fund","210203","10","Royal Artillery Charitable Fund (Permanent Endowment)","210202","18","","2008-01-01","2008-01-01"
"RA Bicentenary Commemoration Fund","210203","25","Royal Artillery Charitable Fund (Permanent Endowment)","210202","18","","2008-01-01","2008-01-01"
"RA Cottages Bath","210203","24","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"RA Cottages Colchester","210203","23","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"RA Memorial Society","210414",0,"Royal Artillery Charitable Fund","210202",0,"","2008-01-01","2008-01-01"
"RA Prisoners of War Fund","210202","16","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"RAA Trust Funds","210202","15","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"Rading Blue Coat School Foundation","309024",0,"Reading Blue Coat And Archbishop Laud Charitable Trust","1159943",0,"2015-03-03","2015-03-03","2015-06-15"
"Archbishop Laud Non-Educational Charity","307987",0,"Reading Blue Coat And Archbishop Laud Charitable Trust","1159943",0,"2015-03-03","2015-03-03","2015-06-15"
"Radio City Charity Foundation","1038060",0,"Bauer Radio's Cash for Kids Charities","1122062",0,"","2010-03-31","2010-04-29"
"RAF Henlow Creche (10829850","","","RAF Henlow Pre-School","1073429",0,"","2011-12-14","2012-04-01"
"Rape And Sexual Abuse Counselling Centre (Darlington and County Durham)","1026288",0,"Rape And Sexual Abuse Counselling Centre (Darlington and County Durham) CIO","1164121",0,"","2016-03-31","2016-09-23"
"RASA (Wakefield District) Limited","1144105",0,"Northern Refugee Centre","1078816",0,"2013-01-05","2013-01-05","2013-11-11"
"RCCG House of Mercy (1124373","","","Redeemed Christian Church of God - RCCG House of Mercy - Aylesbury","1158553",0,"","2015-03-31","2015-06-23"
"Reading College","1137003",0,"Oxford and Cherewell Valley College","","","","2012-07-13","2013-01-30"
"Reading Consolidated Almshouse Charity","233203",0,"Reading Almshouse Charity","1152759",0,"2013-09-30","2013-09-30","2016-03-15"
"Reading Room In Connexion With The First Church of Christ Scientist, Sevenoaks, Kent -","236422",0,"Christian Science Society Sevenoaks -","1037106",0,"","2012-01-08","2012-02-08"
"Real Life Parenting (RLP Services) Ltd","1121901",0,"KIDS","275936",0,"","2015-03-31","2015-06-11"
"Reardon Smith Nautical Trust","1104019",0,"Reardon Smith Nautical Trust","1153623",0,"2014-04-04","2014-05-04","2014-04-16"
"Red Apple Community Trust Limited","514099",0,"Cast NW Limited","1123401",0,"","2016-11-30","2017-01-16"
"Redbourn Missionary Trust","267130",0,"Pilgrims' Friend Society","1045920",0,"2016-03-30","2016-03-30","2016-10-06"
"Redbridge Victim Support Scheme","291469",0,"Victim Support","298028",0,"","2008-01-31","2009-06-16"
"Redeemed Christian Church of God- City in Grace, Peterborough","1130161",0,"RCCG City of Grace Peterborough","1139924",0,"","2011-06-05","2012-03-20"
"Redhill Islamic Centre","281189",0,"Redhill Islamic Centre Trust/Jamia Masjid Al-Mustafa","1146489",0,"","2012-03-23","2012-03-28"
"Redwell Support Group","1046298",0,"Redwell Helping Hands","1076042",0,"","2014-02-06","2014-03-06"
"Refugee New Arrivals Project (Sheffield)","1117477",0,"Northern Refugee Centre","1078816",0,"","2010-01-31","2010-03-15"
"Regnum (West Sussex) Crossroads Care Attendant Scheme/Regnum Crossroads","1048207",0,"West Sussex Crossroads Caring For Carers Limited","1127236",0,"","2009-01-02","2009-02-04"
"Reign Youth Ministries","1126864",0,"Reign Ministries","1157662",0,"2014-01-09","2014-01-09","2015-12-01"
"Reprieve","1080147",0,"Reprieve","1114900",0,"","2006-12-31","2008-01-23"
"Rescue","263300",0,"Rescue - The British Archaelogical Trust","1064836",0,"","2012-04-28","2012-06-13"
"Research Council for Complementary Medicine","287382",0,"The Research Council for Complementary Medicine","1146724",0,"","2012-11-09","2012-12-13"
"Resthaven Nursing Home Limited","235354",0,"Lilian Faithfull Homes","1122183",0,"2017-12-05","2017-06-30","2017-07-24"
"Restormel Mentally Handicapped Limited","900274",0,"The Home Farm Trust Limited","313069",0,"","2003-01-21","2008-04-23"
"Retford Methodist Circuit","1134360",0,"Trinity Methodist Circuit","1133071",0,"2011-12-05","2011-01-09","2013-03-26"
"Retrak","1063025",0,"Retrak","1122799",0,"","2008-04-17","2008-05-27"
"Rett Syndrome Association UK","327309",0,"Rett UK","1137820",0,"","2011-03-31","2011-03-31"
"Rev E J Wilson Hughes Memorial Fund","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Rev James Chelton Memorial Fund","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Rev Powell Hutchinson","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Revival Now","1061368",0,"Bethshan (North East)","1120015",0,"","2017-08-25","2017-11-13"
"Rhayader Young Men's Christian Association Ltd -","1115833",0,"The National Council Of Young Men's Christian Associations Of Wales (Incorporated) -","512259",0,"","2012-01-08","2012-08-14"
"RIBA Trust Limited","1102228",0,"Royal Institute Of British Architects","210566",0,"","2015-04-20","2015-04-23"
"Richard Knight Charity","213808",0,"The Mary Bridgeman Educational Foundation","528831",0,"","2009-04-30","2009-08-25"
"Richmond Fellowship Employment And Training","1016959",0,"The Richmond Fellowship","200453",0,"2007-04-20","2007-03-31","2016-02-24"
"Ripon and Leeds Diocesan Council for Social Aid","226437",0,"Ripon and Leeds Diocesan Council for Social Concern","1065423",0,"","2009-01-31","2009-11-23"
"Robert Privett House","1085060",0,"The Fircroft Trust","802456",0,"","2010-01-08","2010-03-08"
"Robert Walter Whittington Memorial Trust","307291",0,"King Edward VI School, Southampton","1088030",0,"","2008-05-29","2008-09-22"
"Robinswood Pentecostal Church","1050301",0,"One Church","1131467",0,"","2009-12-31","2010-01-29"
"Roland Grange Trust","294724",0,"The Prince Philip Trust Fund","272927",0,"","2016-05-10","2016-10-13"
"Romaldkirk School Foundation","528097",0,"United Charities Of Romaldkirk","1158294",0,"","2014-02-06","2014-10-13"
"Parkin's Foundation","528091",0,"United Charities Of Romaldkirk","1158294",0,"","2014-02-06","2014-10-13"
"The Romaldkirk Almshouse Charity","227666",0,"United Charities Of Romaldkirk","1158294",0,"","2014-02-06","2014-10-13"
"Romance Academy","1123643",0,"Youthscape","1081754",0,"","2012-11-30","2012-12-28"
"Romsey Amateur Operatic And Dramatic Society","281969",0,"Romsey Amateur Operatic And Dramatic Society (RAODS)","1161097",0,"2015-01-05","2015-01-05","2015-11-05"
"Ropley Scout Group","1078878",0,"Four Marks Scout Group","302240",0,"","2011-09-16","2011-09-21"
"Rory Foundation","1137174",0,"The Rory McIlroy Foundation Limited","1157131",0,"","2014-08-18","2014-08-22"
"Rose Elizabeth Greene Convalescent Home for Poor Men and Women","208283",0,"Victoria Convalescent Trust","1064585",0,"","1999-10-05","2010-11-03"
"Rose Walton Centre (For Cerebral Palsy Children)","1029790",0,"Mill Grove Christian Charitable Trust","1078661",0,"2016-08-06","2016-01-01","2016-10-06"
"Rosehill Baptist Church","1048042",0,"Rosehill Baptist Church","1165714",0,"","2016-05-27","2017-06-20"
"Rossendale Citizens Advice Bureau","1110397",0,"Hyndburn Citizens Advice Bureau","1110853",0,"2016-09-29","2016-01-10","2016-07-10"
"Rotary Club of Epsom Charity Fund","262601",0,"Rotary Club Of Epsom Trust Fund","272913",0,"2016-06-30","2016-06-30","2016-08-24"
"Rotherham Womens Refuge Management Association","506500",0,"Rotherham Women's Refuge Management Association","1141699",0,"2012-04-17","2012-01-05","2012-09-05"
"Rowan Preparatory School Trust Limited","312047",0,"The United Church Schools Trust","1016538",0,"","2010-01-29","2010-06-24"
"Royal Air Force Manston Spitfire And Hurricane Memorial Trust","298229",0,"RAF Manston Spitfire & Hurricane Memorial Museum","1159597",0,"2017-01-18","2017-03-17","2017-03-22"
"Royal Commonwealth Ex-Services League","231322",0,"Royal Commonwealth Ex-Services League","1174874",0,"","2018-01-01","2018-03-15"
"Royal Forest Of Dean Riding For The Disabled Carriage Driving Group","1078258",0,"Royal Forest Of Dean Carriage Driving Group Riding For The Disabled Association Incorporating Carriage Driving","1174062",0,"","2017-01-08","2018-07-04"
"Royal Marines Charitable Trust Fund","248733",0,"Royal Marines Charitable Trust Fund","1134205",0,"","2010-01-04","2010-08-19"
"Royal Naval Reserve (V) Benevolent Fund","266380",0,"The Royal Naval Benevolent Trust (Grand Fleet And Kindred Funds)","206243",0,"","2016-09-05","2016-06-17"
"Royal Seamen's Pension Fund","223323",0,"The Shipwrecked Fishermen and Mariners Royal Benevolent Society","212034",0,"","2005-08-12","2007-12-20"
"RPFC","1108896",0,"The Soldiers, Sailors, Airmen and Families Association","210760",0,"","2011-05-27","2011-10-11"
"RSPCA Ealing, Hounslow And District Branch","210943",0,"RSPCA Central, West & North East London","248489",0,"","2016-02-15","2016-07-21"
"RSPCA Kent - Sittingbourne Branch","213829",0,"RSPCA Canterbury, Dover and District Branch","210743",0,"","2015-04-29","2016-08-22"
"RSPCA North-East London Branch","211635",0,"RSPCA Central & North-East London Branch","248489",0,"","2008-03-26","2008-08-18"
"RSPCA South Devon Branch","209547",0,"RSPCA South East And West Devon Branch","205154",0,"","2013-01-01","2014-07-24"
"Rugby House Project Limited","299085",0,"ARP Charitable Services","296375",0,"","2009-01-02","2011-06-27"
"Rugby Mental Health Association","504527",0,"Coventry Mind","1003688",0,"","2010-01-10","2010-11-10"
"Rugeley Community Church","1085046",0,"Rugeley Community Church Limited","1152303",0,"","2015-05-10","2017-01-19"
"Runnymede Association Of Voluntary Services","1059256",0,"Voluntary Support North Surrey","1141587",0,"","2011-04-26","2014-01-31"
"Runnymede Citizens Advice Bureau","215894",0,"Runnymede Citizens Advice Bureau","1128180",0,"","2009-01-04","2010-02-22"
"Rural Development Foundation Bangladesh","1124864",0,"Rural Development Foundation (Bangladesh) Ltd","1144365",0,"","2011-08-12","2012-02-02"
"Ruspini House Trust","285836","6","The Girls Special Fund","285836","3","","2013-02-19","2013-02-28"
"Rydes Hill Trust","293009",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"Saint Bartholomew, Sheffield","","","The Vine, Sheffield","","","2013-07-23","2013-07-23","2014-09-01"
"Saint Stephen, Netherthorpe","","","The Vine, Sheffield","","","2013-07-23","2013-07-23","2014-09-01"
"Salford Child Contact Centre -","1067429",0,"Pro-Contact Expert Services -","1091496",0,"","2012-07-21","2012-10-09"
"Salisbury Trust for the Homeless","801716",0,"Salisbury Trust for the Homeless Ltd","1118746",0,"","2008-01-01","2008-05-02"
"Saltisford Church","1098153",0,"Saltisford Church","1159404",0,"","2015-01-01","2015-07-10"
"Salway Evangelical Church Trust","1073878",0,"Salway Evangelical Church Trust","1163347",0,"2017-06-01","2017-06-01","2017-03-31"
"Samaritan Fund of St Thomas' Hospital","256854",0,"The Guy's and St Thomas' Charity & Other Related Charities","251983","1","","2004-01-14","2008-03-10"
"Sandford Road Poverty Trust","1013232",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"Saxlingham Relief in Sickness Fund","254689",0,"Saxlingham United charities","244713",0,"","2012-10-18","2012-10-26"
"Saxton Village Hall And Green","1076105",0,"Saxton Village Hall CIO","1170075",0,"2017-03-31","2017-01-04","2017-04-19"
"Scalabrini Fathers","234036",0,"Scalabrini Fathers Company","1141084",0,"","2011-12-31","2016-04-05"
"Scarborough","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Schoolmistresses And Governesses Benevolent Institution","205366",0,"The Teaching Staff Trust","1168445",0,"2017-03-31","2017-05-25","2017-07-13"
"Scope in Chesterfield and District","225415",0,"The Home Farm Trust Limited","313069",0,"","2005-05-13","2008-04-23"
"Scout Association West Bridgford","522469",0,"Ruchcliffe District Scout Council","522469",0,"","2009-01-04","2009-08-27"
"Seedtime","326683",0,"All Nations","1105015",0,"","2006-09-19","2008-12-11"
"Seend Relief In Need Charity","244214",0,"The Seend Fund","242637",0,"","2008-10-12","2009-07-23"
"Selsdon Churches Neighbourhood Care","1012801",0,"Contact : Selsdon Churches Neighbourhood Care","1124346",0,"","2008-10-10","2008-10-23"
"Sevenoaks Volunteer Development Agency","1102498",0,"Voluntary Action West Kent","1108388",0,"","2007-12-31","2008-01-31"
"Sha'arei Tsedek North London Reform Synagogue","1076670",0,"Sha'arei Tsedek North London Reform Synagogue","1171418",0,"2018-03-28","2018-03-29","2018-06-06"
"Shanghai","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Sheffield (Brunswick) Methodist Circuit","1133998",0,"Sheffield Methodist Circuit","1134151",0,"","2013-01-09","2014-08-14"
"Sheffield (Ecclesall) Methodist Circuit","1132180",0,"Sheffield Methodist Circuit","1134151",0,"","2013-01-09","2014-08-14"
"The Methodist Church Sheffield North Circuit","1132569",0,"Sheffield Methodist Circuit","1134151",0,"","2013-01-09","2014-08-14"
"The Methodist Church Sheffield South Circuit","1132655",0,"Sheffield Methodist Circuit","1134151",0,"","2013-01-09","2014-08-14"
"Sheffield (West) Methodist Circuit","1144737",0,"Sheffield Methodist Circuit","1134151",0,"","2013-01-09","2014-08-14"
"Shepherd Eastwood Prize Fund","1125485","15","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Shirley Old Peoples Welfare Committee","222725",0,"Shirley Old People's Welfare Committee Limited","1160863",0,"2015-09-25","2015-09-25","2015-11-11"
"Shoreline Church","1052134",0,"Shoreline Church","1141607",0,"","2011-11-30","2012-03-20"
"Shri Ram Chandra Mission UK","1023007",0,"Shri Ram Chandra Mission UK","1128649",0,"","2009-01-07","2009-01-07"
"Shropshire Deafness Association","1028312",0,"Signal Sensory Impairment Globally Nationally and Locally","1151615",0,"","2013-01-10","2013-10-10"
"The Woodford Foundation","1105959",0,"Signal Sensory Impairment Globally Nationally and Locally","1151615",0,"","2013-01-10","2013-10-10"
"Shropshire Mines Trust","1061159",0,"Shropshire Mines Trust Ltd","1108362",0,"2013-03-15","2013-03-15","2013-08-05"
"Siddha Yoga Dham of the United Kingdom","279080",0,"SYD UK","1090984",0,"","2002-07-06","2010-08-19"
"Sight Support Oldham","504148",0,"Henshaws Society For Blind People","221888",0,"","2015-12-22","2016-06-01"
"Signature Care and Support","1081081",0,"Choice Support","298149",0,"","2010-03-31","2011-12-07"
"Signature Care and Support","1081081",0,"Choice Support","298149",0,"2010-01-04","2010-01-04","2011-08-08"
"Simmonds Cricket Prize Fund","1125485","3","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Sir Henry Lucy Scholarship Fund Soldiers Club","1125485","6","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Sir Robert Christopher's Almshouses","214376",0,"Sir Robert Christopher's Almshouses Charity","1170954",0,"2017-12-31","2017-12-31","2018-04-14"
"Sir Thomas White's Charity 1910 (000) & Sir Thomas White's Charity 1934 (000)","","","The Hospital Of St John the Baptist with the Chapel of St Michael Annexed with St Catherine's Hospital","201476",0,"","2010-07-31","2012-04-26"
"Sisters of Mercy (established at St Anthony's Convent of Our Lady of Mercy) Shanklin IOW","227934",0,"Institute of Our Lady of Mercy","290544",0,"","2003-11-28","2008-09-09"
"Sixty Plus","1035607",0,"Age Concern Kensington & Chelsea","1082658",0,"2009-03-31","2009-01-04","2009-06-04"
"Skelton Social Skills Centre Parents and Teachers Association","701833",0,"Grangetown Carer's Association","511287",0,"","2009-01-01","2009-09-09"
"Skipton Extended Learning for All","1124020",0,"SELFA","1169686",0,"2017-03-31","2017-03-31","2017-05-10"
"Small Steps - School for Parents, Greenmead","1089161",0,"Small Steps SFP","1150651",0,"","2013-05-02","2013-05-09"
"Sniggery Scholarships Fund","1125485","7","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Solent Concert Band","277145",0,"Gosport Solent Band","1127941",0,"","2011-08-05","2011-06-15"
"Somali Integration & Development Association (SIDA)","1084999",0,"Somali Integration And Development Association","1167198",0,"","2017-04-09","2018-01-19"
"Somerset Association For The Blind","203296",0,"Somerset Sight Limited","1154472",0,"2014-06-01","2014-06-01","2014-07-01"
"Somerset Sexual Health Services (working name Somerset Gay Health)","1019099",0,"The Terrence Higgins Trust","288527",0,"","2011-08-11","2013-02-18"
"Soundaround","280679",0,"Soundaround","1107687",0,"","2008-03-10","2009-02-20"
"South Bucks Hospice","295452",0,"South Bucks Hospice","1128881",0,"2009-01-07","2009-01-07","2010-09-22"
"South Canterbury Charitable Trust","1010402",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"South Downs Council for Voluntary Service","1062717",0,"3VA","1096788",0,"","2009-01-11","2010-01-21"
