"reg_number","scale"
1056950,National
1056951,Local
1056953,Regional
1056954,Regional
1056955,Local
1056956,Local
1056957,Local
1056958,Regional
1056959,Regional
1056960,Local
1056961,National
1056962,Local
1056963,National
1056964,Regional
1056965,Local
1056966,Regional
1056967,Local
1056968,Local
1056969,National
1056970,Local
1056971,Local
1056972,Regional
1056973,Local
1056974,Local
1056975,Regional
1056976,National
1056977,Local
1056978,Regional
1056979,Local
1056980,Local
1056981,Local
1056982,National
1056983,Local
1056984,National
1056985,Local
1056986,Local
1056987,National
1056988,National
1056990,Local
1056991,National
1056994,Local
1056995,Local
1056996,Local
1056997,Local
1056998,Regional
1056999,Regional
1057000,Local
1057001,Regional
1057002,Local
1057004,Local
1057006,Regional
1057007,Local
1057008,Regional
1057009,National
1057010,National
1057013,Local
1057015,Local
1057016,Regional
1057017,Local
1057018,Regional
1057019,National
1057020,Local
1057021,Local
1057022,National
1057023,Regional
1057024,Regional
1057025,Local
1057026,Local
1057027,Local
1057029,Local
1057031,Local
1057032,National
1057033,Overseas
1057034,Local
1057035,Local
1057036,Local
1057037,Regional
1057038,Local
1057039,Regional
1057041,Local
1057042,Local
1057043,Local
1057046,Local
1057047,Local
1057048,Regional
1057049,Regional
1057050,Local
1057051,Local
1057052,Regional
1057053,Local
1057054,Local
1057055,Regional
1057056,Local
1057057,Local
1057058,National
1057059,Local
1057060,Local
1057061,Overseas
1057062,Local
1057063,National
1057064,Local
1057065,Local
1057066,National and Overseas
1057067,Local
1057068,Regional
1057069,Regional
1057070,National
1057071,Local
1057072,Local
1057074,Regional
1057075,Local
1057076,Regional
1057077,National
1057078,Local
1057079,Local
1057080,Regional
1057081,Regional
1057083,National
1057084,Local
1057085,Regional
1057086,Local
1057087,Local
1057088,National and Overseas
1057089,National
1057091,Regional
1057092,Local
1057093,Local
1057096,Local
1057097,Local
1057098,Local
1057099,Local
1057101,Local
1057102,Local
1057103,Overseas
1057104,Local
1057105,National
1057106,Local
1057107,National
1057108,Regional
1057109,Local
1057110,Local
1057111,Regional
1057112,Local
1057113,Local
1057114,Local
1057115,Local
1057117,Regional
1057118,Regional
1057119,Regional
1057120,Regional
1057121,National and Overseas
1057122,Local
1057123,Local
1057124,Local
1057125,Local
1057127,Local
1057130,Local
1057131,National
1057133,Regional
1057135,National
1057136,Regional
1057137,Local
1057138,Regional
1057139,Local
1057142,Regional
1057143,Regional
1057144,National
1057145,National
1057146,National
1057147,Regional
1057148,Regional
1057149,Regional
1057150,Local
1057151,Local
1057154,National
1057156,Local
1057157,Local
1057158,National
1057159,Regional
1057160,Local
1057163,Local
1057164,Local
1057165,Local
1057166,Regional
1057167,Local
1057168,Local
1057169,Local
1057170,National
1057171,Local
1057172,Regional
1057173,Regional
1057174,National
1057176,National
1057177,Local
1057178,Regional
1057180,Local
1057181,National
1057182,National
1057183,National
1057184,Local
1057185,Local
1057186,National
1057187,Local
1057188,National
1057189,Regional
1057192,National
1057193,Regional
1057194,National
1057195,Local
1057197,Local
1057198,Local
1057200,Local
1057202,Local
1057203,Local
1057204,National
1057205,Local
1057207,Local
1057208,Local
1057210,Local
1057212,Regional
1057213,Regional
1057215,National and Overseas
1057217,Local
1057218,Local
1057219,Regional
1057220,Regional
1057221,Local
1057222,Local
1057223,Local
1057224,Overseas
1057225,National
1057226,Regional
1057228,Local
1057229,Overseas
1057232,National
1057233,Local
1057234,Local
1057237,Local
1057238,Overseas
1057240,Regional
1057241,National
1057242,Regional
1057245,Local
1057246,National
1057247,Regional
1057248,Local
1057249,National
1057250,Overseas
1057251,National
1057252,Local
1057254,National
1057255,Regional
1057256,Local
1057257,National
1057258,Local
1057259,Local
1057260,Local
1057261,Local
1057262,National
1057263,Overseas
1057264,Local
1057265,Local
1057266,Local
1057267,Regional
1057268,National
1057270,Overseas
1057272,Local
1057273,Local
1057275,Local
1057276,Local
1057277,Local
1057278,Regional
1057281,National and Overseas
1057285,Regional
1057286,Local
1057287,Local
1057288,Local
1057290,Local
1057291,Regional
1057292,Regional
1057293,Overseas
1057294,National
1057295,Regional
1057296,Local
1057297,National
1057299,Local
1057300,National
1057301,Local
1057302,Regional
1057305,Local
1057310,Local
1057311,Local
1057312,Local
1057313,Local
1057314,National
1057315,Regional
1057316,Local
1057317,Local
1057318,Regional
1057319,National
1057320,National and Overseas
1057321,Regional
1057322,Local
1057323,Local
1057324,Regional
1057325,Local
1057326,Regional
1057328,Regional
1057329,Local
1057330,Local
1057332,Regional
1057333,National
1057335,Local
1057338,Regional
1057339,Local
1057341,Local
1057342,Regional
1057343,Local
1057344,Local
1057345,Regional
1057346,Local
1057347,National and Overseas
1057348,Local
1057349,Regional
1057350,Regional
1057351,Regional
1057352,Local
1057353,Local
1057354,National
1057355,Regional
1057356,Local
1057357,Local
1057358,Local
1057359,Local
1057360,Local
1057361,Regional
1057362,Local
1057363,Local
1057365,National
1057366,Regional
1057367,Local
1057368,Regional
1057370,Regional
1057371,Regional
1057373,Local
1057374,National and Overseas
1057375,Regional
1057376,Local
1057377,Regional
1057379,Regional
1057380,National and Overseas
1057381,Local
1057382,Regional
1057383,National
1057384,National
1057385,Local
1057386,National
1057387,Local
1057389,Regional
1057390,Local
1057392,National
1057393,Local
1057394,Local
1057395,Regional
1057396,Local
1057397,Local
1057398,Local
1057399,Local
1057400,Regional
1057403,Local
1057404,National
1057405,Local
1057406,Local
1057407,Regional
1057408,National
1057409,Local
1057410,Local
1057412,Local
1057414,National and Overseas
1057415,Local
1057416,Local
1057417,Local
1057418,Local
1057419,Regional
1057420,Local
1057421,Local
1057422,National
1057423,Local
1057424,Regional
1057425,National
1057429,Local
1057430,Local
1057431,National
1057432,Local
1057433,Local
1057437,National and Overseas
1057438,Regional
1057439,Regional
1057440,Regional
1057441,Local
1057442,National
1057443,Local
1057444,Local
1057445,Local
1057446,Local
1057447,National and Overseas
1057448,Regional
1057451,Local
1057452,Local
1057453,Local
1057454,Local
1057455,Local
1057456,National
1057458,Local
1057459,Local
1057460,Local
1057461,Regional
1057462,Regional
1057463,Local
1057464,Local
1057465,National
1057467,Local
1057468,Regional
1057470,Local
1057473,Regional
1057474,Regional
1057476,Local
1057477,Local
1057478,Local
1057480,Local
1057482,Regional
1057483,National
1057485,Local
1057486,Local
1057488,Overseas
1057489,Local
1057490,National
1057491,National
1057492,Regional
1057493,Local
1057494,Local
1057495,Local
1057497,Regional
1057498,Local
1057499,Local
1057500,Local
1057501,National and Overseas
1057502,National
1057503,Regional
1057505,Local
1057506,National
1057507,Local
1057508,Local
1057509,National
1057510,Local
1057511,Local
1057512,Local
1057513,National
1057514,Local
1057515,Regional
1057516,Local
1057517,Local
1057518,Local
1057519,Regional
1057521,National
1057523,Local
1057524,Local
1057525,Local
1057526,Local
1057527,National
1057528,Local
1057529,Local
1057531,Local
1057532,Local
1057533,National and Overseas
1057534,Local
1057535,Local
1057536,Local
1057537,Local
1057538,National
1057539,Local
1057540,Local
1057541,Regional
1057542,Local
1057543,National
1057544,Local
1057545,Local
1057546,Local
1057547,National and Overseas
1057548,Local
1057549,Regional
1057550,Local
1057551,National and Overseas
1057552,Local
1057554,Local
1057555,Regional
1057556,National and Overseas
1057557,Regional
1057558,National
1057559,Local
1057560,Regional
1057561,Regional
1057562,Regional
1057563,National
1057566,National
1057568,Local
1057569,Local
1057570,Local
1057571,Regional
1057572,Regional
1057573,Local
1057575,Local
1057577,Regional
1057579,Regional
1057580,Regional
1057581,Local
1057582,Local
1057583,Local
1057584,Local
1057585,National and Overseas
1057586,National
1057587,National
1057588,National
1057589,Local
1057590,Local
1057591,Local
1057592,Overseas
1057593,Regional
1057594,Local
1057595,Regional
1057596,National and Overseas
1057598,National
1057599,National
1057600,Regional
1057601,Regional
1057602,Local
1057603,Local
1057604,Local
1057607,Regional
1057609,Regional
1057610,Local
1057612,Regional
1057614,Regional
1057615,National
1057616,National
1057617,Local
1057618,Local
1057619,Local
1057620,National
1057621,Overseas
1057622,Local
1057623,Local
1057624,Overseas
1057625,National
1057626,Overseas
1057627,Regional
1057628,Local
1057629,National
1057630,National
1057631,Local
1057632,National
1057633,Overseas
1057634,Local
1057635,National
1057637,Local
1057639,Overseas
1057640,Local
1057641,Regional
1057642,Local
1057643,Local
1057645,Local
1057647,Regional
1057648,National
1057649,Local
1057650,Local
1057651,Local
1057652,Local
1057653,Local
1057654,Local
1057656,Local
1057657,Local
1057658,National
1057659,National
1057660,Local
1057661,National
1057662,National
1057663,Local
1057664,Local
1057665,Local
1057666,Local
1057667,National
1057668,National and Overseas
1057669,Regional
1057670,Local
1057671,Local
1057672,Regional
1057673,Local
1057674,Local
1057675,Local
1057677,Local
1057678,Local
1057680,Regional
1057681,Regional
1057682,Regional
1057683,Local
1057684,Local
1057685,National
1057686,Local
1057688,Regional
1057690,Regional
1057691,Regional
1057692,Regional
1057693,Local
1057694,Local
1057695,Local
1057696,National
1057697,Regional
1057698,National and Overseas
1057701,Local
1057702,Local
1057703,Regional
1057704,Local
1057705,Local
1057706,Regional
1057707,Regional
1057708,Local
1057709,Local
1057710,National
1057711,National
1057712,National
1057713,Local
1057714,Local
1057715,Local
1057716,Local
1057717,Local
1057718,Local
1057719,National
1057721,Regional
1057722,National
1057723,Regional
1057724,Regional
1057725,Local
1057728,Local
1057732,Local
1057734,Local
1057736,Local
1057737,Local
1057738,Local
1057740,Regional
1057741,Regional
1057742,Local
1057743,Local
1057744,National and Overseas
1057746,Local
1057747,Regional
1057748,Local
1057749,National and Overseas
1057750,Local
1057751,Local
1057752,Local
1057755,National
1057756,National
1057757,Local
1057759,National
1057760,Regional
1057762,Regional
1057763,Local
1057764,Local
1057766,Local
1057767,National
1057768,Regional
1057769,Local
1057770,National
1057771,Local
1057772,Local
1057773,Local
1057774,Regional
1057776,Local
1057777,Overseas
1057778,National and Overseas
1057779,National
1057780,Local
1057781,Local
1057782,Local
1057783,Local
1057784,Regional
1057785,Local
1057786,Local
1057788,National and Overseas
1057789,Local
1057790,Regional
1057791,Local
1057793,Local
1057794,Overseas
1057795,National
1057796,Local
1057797,Regional
1057798,Local
1057801,National
1057802,National
1057803,Local
1057804,Local
1057805,National
1057806,Local
1057807,National and Overseas
1057808,Local
1057809,Local
1057810,Local
1057811,National and Overseas
1057812,National
1057813,National
1057814,National and Overseas
1057815,Regional
1057817,National
1057818,Local
1057819,Local
1057820,Local
1057821,National
1057822,Local
1057823,Local
1057825,Local
1057826,National
1057827,National
1057828,Local
1057829,Regional
1057831,National
1057832,Local
1057833,Local
1057835,National
1057836,National and Overseas
1057837,Local
1057838,Local
1057839,Local
1057840,Regional
1057841,National
1057842,Regional
1057844,Local
1057846,Local
1057847,National
1057848,Local
1057849,Local
1057850,Regional
1057851,National
1057853,Local
1057854,National
1057856,National
1057857,Local
1057858,Regional
1057860,Local
1057862,Overseas
1057864,Local
1057865,Local
1057866,Local
1057867,Local
1057868,Local
1057869,Local
1057870,Local
1057871,Overseas
1057874,National
1057875,Local
1057876,Local
1057877,Regional
1057878,Local
1057879,Local
1057880,National
1057881,Local
1057882,National
1057883,Local
1057884,National
1057885,National and Overseas
1057886,Regional
1057887,Local
1057888,Local
1057889,Local
1057890,Local
1057891,National
1057892,National
1057893,Local
1057894,National and Overseas
1057897,Local
1057898,Local
1057899,Local
1057902,Local
1057903,Local
1057904,National
1057905,National
1057906,Regional
1057907,Regional
1057908,Regional
1057910,Local
1057912,Regional
1057913,Local
1057914,Local
1057915,Local
1057916,Local
1057917,National
1057918,Local
1057919,Local
1057920,National and Overseas
1057922,Local
1057923,Regional
1057925,Regional
1057926,National
1057928,Regional
1057929,Local
1057930,Local
1057931,Local
1057932,Local
1057933,National
1057934,National
1057935,National and Overseas
1057936,Local
1057937,Local
1057938,Local
1057939,Local
1057940,Local
1057941,Regional
1057942,National
1057943,Regional
1057944,Regional
1057945,National
1057947,Local
1057948,National
1057949,Local
1057950,Regional
1057952,Local
1057953,Local
1057954,Local
1057955,Regional
1057959,Regional
1057960,Regional
1057961,Local
1057962,Local
1057963,Regional
1057965,Local
1057968,Local
1057969,Regional
1057970,Local
1057972,Local
1057973,Regional
1057974,Local
1057975,National
1057977,Local
1057979,Regional
1057980,National
1057982,Local
1057983,National
1057986,National
1057987,Local
1057988,Regional
1057989,Local
1057990,Local
1057991,Regional
1057992,Regional
1057993,Local
1057994,Overseas
1057996,Overseas
1057997,Regional
1057998,Regional
1057999,Regional
1058000,Local
1058001,Regional
1058002,Regional
1058003,Local
1058004,Local
1058005,National and Overseas
1058006,Regional
1058007,Overseas
1058008,Local
1058011,National
1058012,Regional
1058013,Local
1058014,Local
1058015,Local
1058017,Local
1058018,Local
1058019,Local
1058020,National
1058021,Local
1058023,Local
1058024,Regional
1058025,National
1058026,National
1058027,Local
1058028,National
1058029,Local
1058030,Local
1058031,Regional
1058032,National
1058033,National
1058036,Local
1058037,National
1058038,Local
1058040,National
1058041,Regional
1058043,Local
1058044,Local
1058045,Local
1058046,National
1058047,Regional
1058048,National
1058050,Local
1058052,Local
1058054,Local
1058055,Regional
1058056,National
1058057,Local
1058058,National
1058059,Local
1058060,Regional
1058061,Local
1058063,Local
1058064,Local
1058065,Local
1058067,Local
1058068,Overseas
1058071,Local
1058072,National
1058073,Local
1058076,Local
1058077,Local
1058078,Local
1058079,Local
1058080,Local
1058084,Regional
1058085,Regional
1058086,Local
1058087,National
1058088,National
1058090,National
1058091,Regional
1058092,National and Overseas
1058094,National
1058095,Local
1058096,Overseas
1058097,Local
1058099,Regional
1058100,National and Overseas
1058101,Regional
1058102,Local
1058103,Local
1058104,National
1058105,National
1058106,Overseas
1058107,Local
1058108,Regional
1058109,National
1058110,Regional
1058111,Local
1058113,National
1058114,Local
1058115,Local
1058116,Regional
1058117,Local
1058118,Regional
1058119,Local
1058120,National and Overseas
1058121,Local
1058122,Local
1058123,Local
1058125,National
1058126,Regional
1058127,Local
1058128,National and Overseas
1058130,Local
1058131,Local
1058132,Local
1058133,National
1058134,Local
1058135,National and Overseas
1058136,Local
1058137,Local
1058138,National
1058139,Local
1058140,Local
1058141,Local
1058142,National
1058143,Local
1058144,Local
1058145,Local
1058146,Regional
1058147,Regional
1058148,National
1058149,Regional
1058150,National
1058151,Local
1058153,Local
1058155,Local
1058158,National
1058159,National
1058160,Local
1058162,National and Overseas
1058164,Regional
1058165,Local
1058166,Regional
1058167,Local
1058168,Local
1058169,Local
1058170,Regional
1058171,Local
1058172,Regional
1058173,Regional
1058175,Local
1058176,Local
1058177,Local
1058178,Local
1058179,National
1058181,Local
1058182,National
1058183,Local
1058184,National
1058185,Local
1058186,National
1058187,Local
1058188,Regional
1058191,Local
1058192,Local
1058193,Regional
1058194,Local
1058195,National
1058196,National
1058197,National
1058198,Local
1058199,National
1058200,Local
1058201,Local
1058202,Local
1058203,Local
1058204,Regional
1058206,Regional
1058207,Regional
1058208,Local
1058209,National
1058210,National
1058211,Local
1058212,Local
1058213,Local
1058214,Regional
1058215,Local
1058216,Regional
1058217,Local
1058218,Regional
1058219,Local
1058220,Local
1058221,Regional
1058222,National
1058223,Local
1058224,Regional
1058225,Local
1058226,National and Overseas
1058227,Local
1058228,Regional
1058229,National
1058230,National
1058231,Local
1058232,Local
1058233,Local
1058236,Local
1058238,Local
1058239,National
1058240,Local
1058241,National
1058242,Local
1058243,Regional
1058244,Local
1058246,Local
1058247,Regional
1058248,Local
1058250,Local
1058251,National
1058252,Local
1058253,Local
1058254,National
1058256,National and Overseas
1058257,Local
1058258,Local
1058259,Local
1058260,National
1058261,Regional
1058262,National
1058263,Local
1058265,National
1058267,National
1058268,National
1058270,Local
1058271,Local
1058272,National
1058273,Regional
1058274,National
1058275,Regional
1058277,Local
1058279,Local
1058280,National
1058281,Local
1058282,Local
1058283,Local
1058284,National
1058285,Regional
1058287,Local
1058289,Local
1058290,Overseas
1058291,Local
1058292,Local
1058293,Local
1058294,Regional
1058295,Local
1058296,Local
1058297,Local
1058300,Regional
1058301,Regional
1058302,Local
1058304,National
1058305,Local
1058306,National and Overseas
1058307,Regional
1058308,Local
1058309,National
1058310,Regional
1058311,Local
1058312,National
1058313,Local
1058315,Local
1058316,Local
1058317,National
1058318,Local
1058319,National and Overseas
1058320,National and Overseas
1058321,Local
1058323,Regional
1058324,Regional
1058325,Regional
1058327,National
1058328,Local
1058329,Local
1058331,Local
1058333,National and Overseas
1058334,National
1058336,Local
1058337,Local
1058338,National
1058339,Overseas
1058340,Regional
1058341,Local
1058342,National
1058343,Local
1058344,Local
1058345,National
1058346,National
1058347,Local
1058348,Local
1058349,Local
1058350,National
1058351,Local
1058352,National
1058354,Local
1058355,Local
1058356,Local
1058357,Local
1058359,Regional
1058360,Regional
1058361,National
1058362,National
1058363,Local
1058364,Local
1058365,National
1058366,Local
1058367,Local
1058368,Local
1058369,Regional
1058370,Local
1058371,Regional
1058372,Regional
1058373,Local
1058374,Local
1058375,Local
1058376,National and Overseas
1058377,Local
1058378,Local
1058379,Regional
1058382,National
1058383,Local
1058384,Local
1058387,National and Overseas
1058388,Local
1058389,Regional
1058390,Regional
1058391,Regional
1058392,Local
1058394,Regional
1058395,Regional
1058396,Local
1058397,National
1058398,National and Overseas
1058401,Local
1058402,Local
1058404,Regional
1058405,National
1058406,Local
1058407,Regional
1058408,Local
1058409,Local
1058410,Local
1058411,Local
1058412,National
1058413,National
1058414,Local
1058419,Regional
1058420,Local
1058422,Regional
1058423,National
1058424,Local
1058425,Local
1058426,National and Overseas
1058427,Local
1058429,Local
1058431,National
1058432,Local
1058433,Overseas
1058434,Local
1058435,Local
1058436,National
1058437,Local
1058438,Local
1058439,Regional
1058440,Local
1058443,Local
1058444,National
1058445,Regional
1058446,Local
1058447,Local
1058448,Local
1058451,National and Overseas
1058453,Local
1058455,National
1058456,Regional
1058457,Local
1058459,Regional
1058460,National and Overseas
1058461,National
1058463,Local
1058464,National and Overseas
1058465,Local
1058466,Local
1058468,Local
1058470,National
1058471,Local
1058474,National and Overseas
1058475,Local
1058476,National
1058477,Local
1058478,Local
1058479,Regional
1058480,Regional
1058481,National
1058482,National
1058483,Overseas
1058484,Local
1058485,National and Overseas
1058486,Local
1058487,Regional
1058489,Local
1058490,Regional
1058491,Local
1058492,Local
1058493,Local
1058494,Local
1058495,Regional
1058496,Local
1058497,National
1058499,Local
1058500,Regional
1058501,Overseas
1058503,Regional
1058504,Local
1058505,Regional
1058506,Regional
1058507,National
1058508,National and Overseas
1058509,Local
1058510,Regional
1058511,National
1058512,Local
1058513,Local
1058515,Local
1058516,National
1058517,Local
1058518,Local
1058520,Local
1058522,National
1058523,Local
1058524,Local
1058525,National
1058526,National
1058527,Local
1058528,Local
1058529,Local
1058532,Regional
1058533,National
1058534,National and Overseas
1058535,Local
1058536,Regional
1058538,National and Overseas
1058540,Regional
1058541,National
1058542,Local
1058545,National
1058546,Regional
1058547,Local
1058548,National
1058549,Local
1058550,Regional
1058551,Local
1058552,Regional
1058553,Local
1058555,Local
1058556,National
1058557,Regional
1058558,Local
1058559,Local
1058560,Local
1058561,Local
1058562,Regional
1058565,National
1058566,Regional
1058567,Local
1058568,National and Overseas
1058569,Local
1058570,National
1058573,Local
1058576,Local
1058578,Local
1058579,Regional
1058580,National
1058582,National
1058583,Local
1058584,Local
1058585,Regional
1058586,Local
1058587,Local
1058589,National
1058590,Local
1058591,Local
1058592,Local
1058593,Regional
1058594,Regional
1058595,Local
1058596,Local
1058597,Local
1058599,Local
1058600,Local
1058601,Local
1058603,National
1058606,Local
1058608,Regional
1058609,Local
1058610,Local
1058611,Local
1058612,Regional
1058613,Regional
1058615,National
1058616,Local
1058617,Regional
1058618,Local
1058619,Local
1058620,Regional
1058621,Local
1058622,Local
1058623,Local
1058624,Local
1058626,Local
1058627,National
1058628,National
1058631,Regional
1058632,Local
1058634,Local
1058635,Local
1058636,Local
1058638,Regional
1058639,Local
1058640,Local
1058641,Local
1058643,Regional
1058644,Regional
1058647,Local
1058648,Regional
1058649,Local
1058650,Local
1058651,Local
1058652,Local
1058653,National and Overseas
1058654,National
1058655,Local
1058656,Local
1058657,National
1058658,Local
1058659,Local
1058660,Local
1058661,National and Overseas
1058662,Local
1058664,Local
1058665,Local
1058667,National
1058668,Regional
1058669,Local
1058670,Local
1058671,Local
1058672,National and Overseas
1058673,National
1058674,Local
1058676,National
1058677,Local
1058678,National
1058679,Regional
1058680,Overseas
1058681,Regional
1058682,Local
1058683,Local
1058684,Local
1058685,Local
1058686,Local
1058687,Local
1058688,Local
1058689,Local
1058691,Local
1058692,National
1058693,Local
1058694,Regional
1058696,National
1058697,Regional
1058698,Local
1058699,Local
1058700,Local
1058701,National and Overseas
1058703,National and Overseas
1058704,Regional
1058705,National
1058706,Local
1058709,Local
1058710,Local
1058711,Local
1058712,Local
1058713,Regional
1058714,Local
1058715,Local
1058716,Local
1058717,Local
1058718,National
1058721,Regional
1058722,Local
1058723,Local
1058724,Local
1058725,National
1058727,Local
1058728,Local
1058729,Regional
1058731,Regional
1058733,Local
1058734,Regional
1058735,National
1058736,Local
1058737,Local
1058738,National
1058739,National
1058740,Regional
1058741,Regional
1058742,Local
1058743,National
1058744,Local
1058745,National and Overseas
1058746,Local
1058747,National
1058748,Local
1058749,Local
1058752,Local
1058753,National
1058756,Local
1058757,Regional
1058758,Local
1058759,National
1058760,Local
1058761,National
1058762,Local
1058763,Local
1058765,National
1058767,Regional
1058769,Regional
1058771,National
1058772,Local
1058774,Local
1058775,Regional
1058776,Regional
1058777,Local
1058778,Local
1058779,Local
1058780,Local
1058781,Regional
1058782,Local
1058783,National
1058784,Local
1058785,Local
1058787,National
1058788,Local
1058789,Overseas
1058790,Regional
1058794,National
1058795,Local
1058796,Regional
1058797,Local
1058798,Local
1058799,National
1058801,Local
1058803,Local
1058804,Regional
1058806,Local
1058807,Local
1058808,Regional
1058809,Local
1058810,Regional
1058811,Regional
1058813,Regional
1058814,Regional
1058815,Local
1058816,Local
1058817,Local
1058818,National
1058819,Regional
1058820,National
1058821,National
1058822,Regional
1058823,Local
1058824,Local
1058825,National
1058826,Regional
1058828,Local
1058829,National
1058830,Regional
1058831,Local
1058832,Local
1058833,Local
1058834,Local
1058836,National
1058837,Local
1058839,Regional
1058840,Local
1058841,Local
1058843,Local
1058844,Regional
1058845,Local
1058846,Local
1058847,Local
1058848,Regional
1058849,Regional
1058850,Regional
1058851,Local
1058852,Local
1058853,Local
1058854,Local
1058855,Regional
1058859,Local
1058860,Local
1058861,Local
1058862,National
1058863,Local
1058865,Local
1058866,Regional
1058867,Regional
1058868,Local
1058870,National and Overseas
1058871,National
1058872,Local
1058874,National
1058875,Local
1058876,Local
1058877,Local
1058878,National
1058879,National
1058880,Local
1058881,National
1058882,Local
1058883,Local
1058885,Local
1058886,National
1058887,National
1058888,Regional
1058889,Local
1058890,Local
1058891,Local
1058892,Local
1058893,Local
1058894,Local
1058895,Local
1058896,Local
1058897,Regional
1058898,Local
1058899,Local
1058900,Regional
1058901,Local
1058902,Local
1058904,Local
1058905,Overseas
1058906,Regional
1058907,Local
1058908,Local
1058909,Local
1058910,Regional
1058911,National
1058913,Local
1058914,National
1058915,Local
1058916,Local
1058917,Local
1058918,Regional
1058919,Local
1058920,Local
1058921,National
1058922,Local
1058923,Local
1058924,Local
1058925,Local
1058926,Local
1058929,National and Overseas
1058930,National
1058931,Regional
1058932,Local
1058933,Regional
1058934,Regional
1058935,Local
1058936,Local
1058937,Regional
1058938,Regional
1058939,National
1058941,Local
1058942,Regional
1058943,Local
1058944,National
1058945,Local
1058946,Local
1058947,Local
1058948,Local
1058949,National
1058951,Local
1058952,Local
1058953,Local
1058955,Local
1058956,Regional
1058958,National
1058959,National
1058960,Local
1058961,Regional
1058963,Local
1058964,Regional
1058965,Local
1058966,Local
1058967,Local
1058968,National
1058969,Local
1058970,Local
1058971,Regional
1058972,Local
1058973,Overseas
1058974,Local
1058975,Local
1058976,Local
1058977,Local
1058978,Regional
1058979,National
1058980,National
1058981,National
1058982,Regional
1058986,Local
1058987,Local
1058989,Local
1058990,Regional
1058991,National and Overseas
1058992,Local
1058993,Local
1058994,Local
1058995,Local
1058996,Regional
1058998,Regional
1058999,Regional
1059000,Regional
1059001,Regional
1059002,Local
1059003,Regional
1059004,Local
1059005,Regional
1059007,Regional
1059008,Local
1059009,National and Overseas
1059010,Regional
1059011,Local
1059013,Overseas
1059014,Local
1059015,Regional
1059016,National and Overseas
1059017,Local
1059018,National
1059019,Local
1059021,Regional
1059022,Regional
1059024,Overseas
1059025,Local
1059026,Regional
1059027,Local
1059029,Local
1059030,Local
1059031,Local
1059032,Regional
1059034,National and Overseas
1059036,Overseas
1059037,National
1059041,Local
1059042,Local
1059043,Local
1059044,Local
1059045,Local
1059047,National
1059048,Local
1059050,Regional
1059051,National
1059055,National
1059056,Overseas
1059057,Overseas
1059058,Local
1059059,Local
1059060,Local
1059061,Local
1059062,Regional
1059063,National
1059064,Regional
1059065,Local
1059066,Local
1059067,National
1059068,Local
1059069,Regional
1059070,Overseas
1059071,National
1059072,Local
1059073,Regional
1059075,National
1059076,Regional
1059077,National
1059078,Local
1059079,National
1059080,Regional
1059081,National
1059082,Local
1059084,Local
1059085,Regional
1059087,Regional
1059088,Local
1059089,Local
1059090,Local
1059091,Regional
1059092,Regional
1059094,National
1059095,Local
1059096,Local
1059097,Local
1059098,Local
1059099,Local
1059100,Local
1059101,Regional
1059102,National
1059103,Local
1059104,Local
1059105,Local
1059106,National and Overseas
1059107,Local
1059108,Local
1059109,Local
1059110,Local
1059112,National and Overseas
1059113,Local
1059114,Local
1059115,Regional
1059116,National
1059117,National and Overseas
1059118,National
1059119,Local
1059120,Local
1059121,Local
1059122,National
1059123,Local
1059124,Local
1059125,National
1059126,Local
1059127,National
1059128,National
1059130,National
1059131,Regional
1059133,National
1059134,National
1059135,Local
1059138,National
1059139,Local
1059140,Local
1059141,Local
1059142,Local
1059143,National
1059144,Regional
1059145,Local
1059147,National
1059148,National
1059149,Regional
1059151,National
1059152,Local
1059153,Local
1059154,Local
1059155,National
1059156,Local
1059157,Regional
1059158,Local
1059159,Local
1059160,Regional
1059161,National
1059165,Regional
1059167,National
1059169,Local
1059170,Local
1059171,Local
1059172,National
1059173,Regional
1059175,National
1059176,National
1059177,National
1059178,Local
1059180,Local
1059182,Local
1059183,Local
1059184,National and Overseas
1059186,Local
1059188,Local
1059189,Local
1059190,Local
1059191,Local
1059192,Regional
1059193,Regional
1059194,Local
1059195,Regional
1059196,Local
1059197,National
1059198,National
1059200,Regional
1059201,Regional
1059202,Local
1059204,Local
1059205,Regional
1059207,Local
1059208,Regional
1059209,Local
1059210,National and Overseas
1059211,Local
1059212,Regional
1059213,Local
1059214,Local
1059215,Local
1059216,Local
1059218,Local
1059219,Regional
1059220,Regional
1059221,Local
1059223,Local
1059224,Local
1059225,Local
1059226,Overseas
1059227,National
1059228,National
1059229,National
1059230,National
1059231,Local
1059233,Local
1059234,Local
1059237,Local
1059239,Regional
1059240,National
1059241,Local
1059243,Overseas
1059244,Local
1059246,Local
1059247,National
1059248,National and Overseas
1059249,Local
1059250,Local
1059251,Local
1059253,National
1059254,Local
1059255,National
1059256,Local
1059257,National
1059259,Regional
1059263,Local
1059264,National
1059265,National
1059266,Local
1059268,National
1059269,National
1059270,Local
1059271,National and Overseas
1059272,National
1059273,Local
1059274,Overseas
1059275,National
1059276,Local
1059279,Local
1059281,Local
1059282,Local
1059283,Local
1059285,Local
1059287,Local
1059288,Local
1059289,Local
1059290,Local
1059291,Local
1059293,National
1059294,Local
1059296,Local
1059297,Local
1059298,Regional
1059299,Local
1059300,Regional
1059301,National
1059302,Local
1059303,Local
1059304,Local
1059305,Regional
1059306,Local
1059307,Local
1059308,Local
1059309,National
1059310,National
1059313,Local
1059314,Local
1059315,Local
