"reg_number","scale"
201880,Local
201883,Local
201885,Local
201887,Local
201890,Local
201892,National
201894,National
201895,Regional
201897,Regional
201898,Local
201904,Local
201905,Local
201907,Local
201910,Regional
201911,National
201913,Local
201922,Local
201926,Local
201927,Local
201929,Regional
201931,Local
201932,Local
201934,Regional
201935,Local
201939,Local
201940,Regional
201941,Local
201942,National
201945,Local
201949,Local
201951,National and Overseas
201952,Local
201953,Local
201954,Local
201956,Local
201958,Local
201959,Local
201960,Local
201964,Local
201967,Local
201968,Local
201969,Local
201971,Local
201975,Local
201976,Local
201977,Local
201982,Local
201988,Local
201989,Local
201990,Local
201991,Regional
201993,Local
201994,Local
201995,Local
201996,Local
201997,Local
201999,Local
202001,Local
202002,Local
202003,Local
202005,Local
202008,Local
202009,National
202010,Local
202011,Local
202013,Local
202014,Regional
202017,Local
202020,Local
202025,Local
202026,Local
202027,Local
202028,Local
202031,Local
202032,Local
202033,Local
202036,Regional
202037,Regional
202040,National
202043,Local
202045,Local
202047,Regional
202048,Local
202049,Local
202051,Local
202053,Local
202054,Local
202056,Local
202059,Local
202062,Local
202063,Local
202065,Local
202066,Local
202074,Local
202075,Local
202076,Local
202077,Local
202079,National
202080,Local
202083,Local
202087,Local
202090,Local
202091,Local
202094,Local
202095,Local
202098,Local
202099,Local
202100,Local
202103,Local
202104,Local
202106,Local
202109,Local
202110,Local
202114,Local
202116,Local
202118,Local
202119,Regional
202120,Local
202124,Local
202125,Regional
202132,Local
202134,Local
202137,Local
202143,Local
202144,Local
202145,Local
202146,Local
202147,Local
202148,Local
202149,Local
202150,Local
202151,Regional
202152,Local
202153,Regional
202154,Local
202155,Local
202158,Local
202160,Local
202161,National
202162,Local
202163,Local
202168,Local
202172,Local
202173,Local
202175,Local
202179,Local
202180,Local
202187,Local
202188,Local
202190,Local
202191,Local
202192,Local
202193,Local
202194,Local
202195,Local
202196,Local
202198,Local
202199,Local
202209,Local
202210,Regional
202211,Local
202212,Local
202215,Local
202216,Local
202217,Local
202220,Local
202222,Local
202223,Local
202224,Local
202225,Regional
202226,Local
202227,Local
202229,Local
202233,Local
202235,National
202236,Local
202237,Local
202240,Local
202241,Local
202242,Local
202243,Local
202247,Local
202250,Local
202255,National
202256,Regional
202257,Local
202259,Local
202260,Local
202261,Local
202263,Local
202268,Local
202269,National
202270,Local
202271,National
202272,Local
202274,Local
202275,Regional
202277,Regional
202280,Local
202285,Local
202286,Local
202288,Local
202291,Local
202294,Local
202295,Local
202296,Local
202298,Local
202299,Local
202300,Local
202302,Regional
202307,Local
202310,Local
202311,Local
202312,Local
202314,Local
202315,Local
202316,Local
202323,Local
202325,Local
202330,Local
202334,Local
202336,Regional
202337,Local
202338,Local
202339,Local
202343,Local
202348,Local
202349,Regional
202350,Local
202351,Regional
202352,Local
202356,Local
202359,Local
202360,Local
202361,Local
202364,Local
202366,Local
202367,Local
202368,Local
202369,Local
202370,Local
202374,Local
202375,Local
202377,Local
202378,Regional
202380,Local
202384,Local
202386,Local
202387,Regional
202388,Local
202393,Local
202394,Local
202395,Local
202397,Regional
202398,Local
202399,Regional
202400,Local
202402,Local
202404,National
202405,Local
202413,Local
202419,Local
202427,Local
202428,Local
202429,Local
202430,Local
202436,Local
202439,Local
202440,Local
202442,Local
202443,Local
202446,Local
202451,Local
202452,Local
202453,Local
202455,Regional
202456,Local
202457,Local
202458,National
202459,Local
202460,Local
202463,Local
202464,Local
202467,Local
202468,Local
202470,Local
202471,Regional
202472,Local
202475,Local
202477,Local
202478,Regional
202479,Local
202480,Local
202481,Local
202485,Local
202487,Local
202488,Local
202490,Local
202491,Local
202492,Local
202493,Regional
202494,Local
202496,Local
202497,Local
202499,Regional
202500,Local
202501,Local
202502,Local
202511,Local
202513,Local
202515,Local
202516,Local
202517,Local
202523,Regional
202524,Local
202525,Local
202531,Local
202532,Local
202533,Local
202534,Local
202535,Local
202536,National
202537,Local
202540,Regional
202541,Local
202542,Local
202543,Local
202545,Local
202546,Local
202549,Local
202554,Local
202556,Regional
202559,Local
202565,Local
202566,Local
202567,Local
202568,Local
202569,Local
202573,Local
202575,Local
202576,Local
202577,Local
202578,National
202582,Local
202585,Local
202586,Local
202587,Regional
202589,Local
202600,Local
202601,Local
202605,Local
202606,Local
202607,Local
202609,Local
202610,Local
202613,Local
202618,Local
202620,Local
202625,Local
202628,Local
202629,Local
202630,Local
202631,Local
202632,Local
202634,Local
202636,Local
202638,Local
202639,Local
202640,Local
202642,Local
202643,Local
202648,Local
202649,Local
202650,Local
202651,Local
202652,National
202653,Local
202655,Local
202659,Local
202662,Local
202663,Local
202665,Local
202667,Local
202668,Local
202675,Local
202683,Local
202684,Local
202685,Local
202686,Local
202687,Regional
202688,Local
202699,Local
202702,Local
202704,Local
202706,Regional
202707,Local
202709,Local
202711,Local
202712,Local
202716,Local
202718,Local
202719,Local
202723,Local
202725,Local
202726,Local
202729,Local
202732,Local
202734,Local
202735,Local
202736,Local
202739,Local
202740,Local
202741,Local
202742,Local
202744,National
202745,Regional
202746,Local
202747,Local
202748,Local
202750,Local
202751,Local
202754,Local
202755,Local
202757,Local
202758,Local
202759,Local
202762,Local
202767,Local
202768,Local
202770,Local
202771,Local
202773,Local
202774,Local
202776,Local
202778,Local
202779,Local
202780,Local
202781,Local
202782,National
202784,Local
202785,Local
202788,Local
202789,Local
202790,Local
202791,Local
202792,Local
202795,Local
202801,Local
202802,Local
202803,Local
202804,Local
202806,Local
202808,Local
202809,Local
202811,Local
202812,Local
202814,Local
202815,Local
202817,Local
202818,Regional
202819,Local
202820,National
202822,Local
202824,National
202826,Local
202831,Local
202833,Local
202835,Local
202837,Local
202843,Local
202845,Local
202846,Local
202848,National
202849,Local
202853,Local
202857,Local
202858,Local
202860,Local
202861,Local
202862,Local
202863,Local
202865,Local
202869,Local
202870,Local
202871,Local
202873,Local
202878,Local
202879,Local
202880,Local
202882,Local
202883,Local
202886,Local
202887,Local
202891,Local
202892,Local
202893,Local
202895,Local
202896,Local
202903,Local
202910,Local
202913,Local
202915,National and Overseas
202917,Local
202918,Overseas
202919,Local
202920,Local
202922,Regional
202924,Local
202925,Local
202930,Regional
202931,Local
202932,Local
202934,Local
202936,Local
202937,Local
202938,Local
202939,Local
202940,Local
202944,Local
202946,Local
202949,Local
202952,Local
202955,Local
202956,Local
202957,Local
202958,Local
202959,Local
202961,Local
202962,Local
202966,National
202970,Local
202972,Local
202973,Local
202975,Local
202978,Local
202981,Local
202984,Local
202986,Local
202987,Local
202994,Local
202996,Local
202998,Local
203001,Local
203002,Local
203003,Local
203004,Local
203006,Local
203009,Local
203013,Local
203014,Local
203018,Local
203021,Local
203022,Local
203023,Local
203024,Local
203034,Local
203035,Local
203038,Local
203039,Local
203040,Local
203041,Local
203042,Local
203043,Local
203044,Local
203048,Local
203049,Regional
203062,Local
203063,Local
203065,Local
203068,Local
203070,Local
203072,Local
203073,Local
203074,Local
203077,Local
203080,Local
203081,Local
203082,Local
203086,Local
203087,Local
203088,Local
203089,Local
203090,Local
203091,Local
203092,Local
203094,Local
203096,Local
203098,Local
203099,Local
203100,Local
203103,Local
203104,Local
203105,Local
203106,Local
203107,Local
203108,Local
203109,Local
203112,Local
203113,Local
203114,Local
203117,Local
203121,Local
203122,Local
203123,Local
203124,Local
203128,Local
203130,Regional
203136,Local
203137,Local
203138,Local
203140,Local
203141,Local
203142,Regional
203151,Local
203153,Local
203154,Local
203155,Local
203156,Local
203157,Local
203158,Local
203159,Regional
203161,Local
203164,Local
203166,Local
203169,Local
203170,Local
203172,Local
203180,Local
203182,Local
203187,Local
203189,Local
203191,Local
203192,Local
203195,Local
203196,Local
203197,Local
203199,Local
203200,Local
203201,Local
203202,Local
203204,Local
203207,Local
203211,Local
203212,Local
203213,Local
203215,Regional
203216,Local
203217,Local
203218,Local
203219,Local
203220,Local
203221,Local
203222,Local
203224,Local
203226,Local
203227,Local
203228,Local
203229,Local
203230,Local
203235,Local
203236,Local
203239,Local
203240,Local
203241,Local
203243,Local
203244,Local
203245,Local
203247,Local
203254,Local
203258,Local
203262,Regional
203263,Local
203264,National
203265,Local
203266,National
203267,Local
203269,Local
203271,Local
203272,Local
203274,Local
203275,National
203279,Local
203280,Local
203284,Local
203285,Local
203286,Local
203288,Local
203289,Regional
203295,Local
203296,Local
203297,Local
203304,Local
203306,Local
203307,Regional
203309,Regional
203311,Regional
203317,Local
203318,Local
203319,Local
203322,Regional
203323,Local
203329,Local
203331,Local
203335,Local
203336,Local
203338,Local
203339,Regional
203340,Local
203342,Local
203343,Local
203344,Local
203345,Regional
203346,Local
203350,Local
203353,Local
203354,Local
203356,Local
203365,Local
203367,Regional
203369,Local
203371,Local
203373,Local
203375,Local
203376,Local
203378,Local
203379,Local
203380,Local
203383,Local
203385,Local
203387,Local
203389,Local
203390,Local
203392,Local
203393,Local
203394,Local
203395,Local
203396,Local
203399,Local
203402,Local
203403,Local
203405,Local
203408,Local
203410,Local
203411,Local
203412,Local
203413,Local
203418,Local
203421,Local
203423,Local
203425,National
203427,Local
203428,Regional
203429,National
203430,Local
203431,Local
203432,Local
203433,Local
203437,Local
203438,Local
203439,Local
203441,Local
203443,Regional
203444,Local
203445,Local
203447,Local
203449,Local
203451,Local
203452,Local
203456,Local
203458,Local
203460,Local
203464,Local
203465,Local
203466,Local
203467,Local
203468,Local
203469,Local
203472,Local
203473,Local
203475,Local
203480,Regional
203484,Local
203485,Local
203488,Local
203489,Local
203493,Local
203499,Local
203500,Local
203514,Local
203515,Local
203516,Local
203518,Local
203520,Local
203521,National
203522,Local
203523,Local
203524,Local
203527,Local
203529,Regional
203530,Local
203532,Local
203535,Local
203536,Local
203538,Local
203539,Local
203540,Local
203542,Local
203544,Local
203546,Local
203550,Local
203553,Local
203554,Local
203555,Local
203556,Local
203557,Local
203558,Regional
203559,Local
203562,Local
203564,Local
203566,Local
203572,Local
203573,Local
203574,Local
203578,Regional
203579,Local
203580,Local
203583,National
203586,Local
203590,Local
203592,Local
203593,Local
203594,Local
203596,Local
203598,Local
203601,Local
203602,Local
203604,Local
203605,Local
203606,Local
203608,Local
203609,Local
203610,Local
203611,Local
203612,Local
203613,Local
203614,Local
203620,Regional
203622,Local
203625,Local
203626,Local
203628,Local
203630,Local
203631,Local
203632,Local
203633,Local
203635,Local
203636,Local
203638,Local
203639,Local
203640,Local
203641,Local
203644,National
203645,Local
203646,Local
203647,Local
203649,Local
203652,Local
203653,National
203656,Local
203658,Local
203659,Local
203661,Local
203662,Local
203663,Local
203669,Local
203671,Local
203673,Local
203678,Local
203680,Local
203681,Local
203684,Local
203686,Local
203688,Local
203689,Local
203691,Local
203695,Local
203696,Local
203697,Local
203701,Local
203703,Regional
203711,Local
203717,Local
203720,Local
203721,Local
203722,Local
203725,Local
203727,Local
203729,Local
203731,Local
203732,Regional
203736,Local
203737,Local
203738,Local
203740,Local
203742,Local
203743,Local
203745,Local
203747,Local
203748,Local
203749,Local
203751,Local
203752,Local
203753,Local
203754,Local
203756,Local
203757,Local
