Type,Entity,Company Number,OSCAR CPID
Academy Trust,St Thomas More Partnership of Schools,07900532,CAD022
Academy Trust,St Thomas More Roman Catholic Academy,07844795,CAD022
Academy Trust,Conisbrough Ivanhoe Primary Academy,07825848,CAD022
Academy Trust,The Alliance Multi-academy Trust,08576427,CAD022
Academy Trust,Connaught School for Girls,08354009,CAD022
Academy Trust,Connected Learning,08579939,CAD022
Academy Trust,Engineering UTC Northern Lincolnshire,08351953,CAD022
Academy Trust,ContinU Plus Academy Trust,08228379,CAD022
Academy Trust,The 1590 Trust,08366005,CAD022
Academy Trust,Coombe Dean School Academy Trust,07561268,CAD022
Academy Trust,"Co-operative Academy of Stoke on Trent, The",07158839,CAD022
Academy Trust,The Coopers' Company and Coborn School,07547060,CAD022
Academy Trust,Gippeswyk Community Educational Trust,07656715,CAD022
Academy Trust,The Coppice Primary School,07845627,CAD022
Academy Trust,Bradford Academy Trust,05508735,CAD022
Academy Trust,The Corbet School,07721594,CAD022
Academy Trust,Core Education Trust,07949154,CAD022
Academy Trust,Corelli College Co-operative Academy Trust,07698469,CAD022
Academy Trust,Corfe Hills School Academy Trust,07536911,CAD022
Academy Trust,Mottram St. Andrew Primary Academy,07548791,CAD022
Academy Trust,"Pochin School, The",08204075,CAD022
Academy Trust,Cornelius Vermuyden School,08667123,CAD022
Academy Trust,Cornerstone Academy Trust,07339625,CAD022
Academy Trust,"Cornovian Alliance, The",09221695,CAD022
Academy Trust,GDST Academy Trust,06000347,CAD022
Academy Trust,Cosby Primary School,08137451,CAD022
Academy Trust,"Cosmos Academy Trust, The",08662756,CAD022
Academy Trust,The Costello School,08062622,CAD022
Academy Trust,Cotham School,07732888,CAD022
Academy Trust,Skills For Life Trust,07965316,CAD022
Academy Trust,"Cottenham Academy, The",07740815,CAD022
Academy Trust,Cottesbrooke Infant and Nursery School,08936173,CAD022
Academy Trust,"Cottingham Trust, The",07553984,CAD022
Academy Trust,Abbey Academies Trust,07318714,CAD022
Academy Trust,Cranbrook School Academy Trust,07794423,CAD022
Academy Trust,Coundon Court,07994219,CAD022
Academy Trust,"Abbey College, Ramsey",07740516,CAD022
