URN,EstablishmentName,charity_number,company_number,charity_name,active
101381,Kerem School,1063815,03391872,,True
101382,Pardes House Primary School,,,,False
101383,St Martin's School,,,,True
101384,The Albany College,,,,False
101385,Pardes House Grammar School,1064229,,,True
101387,Menorah Grammar School,1103674,,,True
101388,Beth Jacob Grammar School for Girls,248708,00873750,,True
101389,Akiva School At Levy House,,,,False
101390,Menorah Foundation School,,,,False
101391,Dwight School London,,,,True
101392,Torah Temimah Primary School,,,,False
101393,Brampton College,1149526,,,True
101481,West Lodge School,283627,01590162,,True
101482,Merton Court School,,,,True
101483,Harenc School,,,,False
101484,Benedict House Preparatory School,,,,True
101568,Buckingham Preparatory School,,,,True
101569,Buxlow Preparatory School,,,,True
101570,Gower House School,,,,False
101571,St Christopher's Prep School,,,,True
101572,St Nicholas School,,,,True
101573,"Ysgol Gymraeg Llundain, London Welsh School",,,,True
101575,Islamia School for Girls',1134513,07055355,,True
101576,Al-Sadiq School,,,,True
101577,Beis Yaakov Primary School,,,,False
101578,The Swaminarayan School,1023731,,,False
101680,Babington House School,307914,00610514,,True
101681,Baston School,,,,False
101682,Bickley Park School,307915,00733991,,True
101683,Bishop Challoner School,1153948,08652238,,True
101684,Breaside Preparatory School,,02313425,,True
101685,Farringtons School,307916,07649422,,True
101686,Holy Trinity College,,,,False
101687,St Christophers The Hall School,,,,True
101688,Eden Park and Elmhurst Schools,,,,False
101689,Greenhayes School for Boys,,,,False
101690,St David's Prep,,09644898,,True
101691,Bickley Parva School,,,,False
101692,Bromley High School,306983,00006400,,True
101693,Eltham College,1058438,03245525,,True
101694,Ashgrove School Ltd,,,,True
101695,Darul Uloom London School,,,,True
101827,Lodge School,,,,False
101828,Croham Hurst School,312609,,,False
101829,Cumnor House School,,02313425,,True
101830,Downside School,,,,False
101831,Elmhurst School for Boys,,08028529,,True
101832,Henriette Le Forestier Preparatory School,,,,False
101833,Virgo Fidelis Convent School,,,,False
101834,Laleham Lea School,1118598,06067557,,True
101835,Royal Russell School,271907,01163246,,True
101836,West Dene School,,,,False
101837,Whitgift School,312612,,,True
101838,Reedham Park School Limited,,,,False
101839,St David's School,,,,True
101840,Sanderstead Junior School,,,,False
101841,Beech House Preparatory School,,,,False
101842,Trinity School,515960,,,True
101844,Shaftesbury Independent School,,,,False
101845,Croydon High School,306983,00006400,,True
101846,Old Palace of John Whitgift School,,,,True
101847,New Life Christian School,,,,False
101848,Folly's End Christian School,,,,False
101849,BRIT School for Performing Arts and Technology,,,,True
101850,Harris City Technology College,,,,False
101944,Durston House School,,,,True
101945,Harvington Prep School,312621,00979140,,True
101946,St Augustine's Priory,1097781,04482913,,True
101947,St Benedict's School,1148512,08093330,,True
101948,Barbara Speake Schools for Performing Arts,,,,False
101949,Falcons School for Girls,,00438111,,True
101950,Ealing College Upper School,,,,False
101951,Manor House School,307347,00620219,,False
101952,St Angelo Preparatory School,,,,False
101954,Notting Hill & Ealing High School,306983,00006400,,True
101955,Clifton Lodge School,,02313425,,True
101956,St Benedict's Junior School,,,,False
101957,King Fahad Academy,327342,02090011,,True
101958,The Japanese School,271665,01263742,,True
101959,Greek Secondary School of London,,,,True
101960,Crofton Hill Education Establishment,,,,False
101961,Orchard House School,,,,True
101962,Avenue House School,,,,True
101963,Aston House School,,,,False
101964,The Eden SDA School,,,,True
102060,Keble Preparatory School,1064758,03404450,,True
102061,Palmers Green High School,312629,00537727,,True
102062,Grange Park Preparatory School,268328,01179148,,True
102063,Salcombe Preparatory School,,02313425 ,,True
102064,Vita Et Pax School,,,,True
102065,St John's Preparatory and Senior School,,,,True
102162,Channing School,,,,True
102163,Highgate School,312765,,,True
102164,Highfield School,,,,False
102165,Norfolk House School,,08028529,,True
102166,Parkside Preparatory School,,,,False
102168,Sunrise Primary School,284833,,,False
102169,North London Rudolf Steiner School,292776,01930737,,True
102170,Montessori House,,,,False
102171,Beis Chinuch Lebonos Girls School,,,,True
102174,Excelsior College,,,,False
102245,Harrow School,,,,True
102246,Heathfield School for Girls,306983,00006400,,False
102247,The John Lyon School,,,,True
102248,Orley Farm School,1058846,,,True
102249,Quainton Hall School,312638,00396478,,False
102250,Alpha Preparatory School,312640,00455482,,True
102251,Buckingham College School,,,,False
102252,Peterborough and St Margaret's School,,,,False
102253,Reddiford School,,,,True
102254,Roxeth Mead School,,,,True
102255,Innellan House School,1070844,03555478,,False
102256,The Purcell School,312855,00759327,,True
102257,North London Collegiate School,1115843,02818422,,True
102258,Dorset House School,,,,False
102355,Gidea Park Preparatory School and College,,,,True
102356,Goodrington School,,,,False
102357,St Mary's Hare Park School,298326,00220326,,True
102358,Raphael Independent School,,,,False
102359,Immanuel School,,,,False
102360,Immanuel School,288075,,,True
102361,Oakfields Preparatory School,,02313425,,True
102452,Northwood College for Girls GDST,306983,00006400,,True
102453,St Helen's School,312762,00420867,,True
102454,St Martin's School,312648,00709159,,True
102455,The Hall School,,,,True
102456,St Helen's College,,,,True
102457,St John's School,1063738,03411518,,True
102458,ACS Hillingdon International School,1179820,00910010,,True
102459,Guru Nanak Sikh College,,,,False
102546,Ashton House School,,,,True
102547,Chiswick and Bedford Park Preparatory School,,,,True
102548,Hounslow College,,,,False
102549,Hounslow College Preparatory School,,,,False
102550,International School of London,,,,True
102551,ArtsEd Day School and Sixth Form,,,,True
102552,St Thoma's More School,,,,False
102553,Park School,297797,02161405,,False
102609,Holy Cross Preparatory School,238426,,,True
102610,Shrewsbury House School,277324,01411417,,True
102611,Surbiton High School,1016538,02780748,,True
102612,Rokeby School,312653,00872414,,True
102613,Bretby House School,,,,False
102614,Linley House School,,,,False
102615,Marymount International School,1117786,05325717,,True
102616,Park Hill School,,,,True
102617,The Study School,,,,True
102618,Westbury House School,,,,True
102619,Kingston Grammar School,1078461,03883748,,True
102620,Canbury School,803766,02516633,,True
102684,King's College School,310024,,,True
102685,The Rowans School,,,,True
102686,Ursuline Preparatory School,1079754,03914222,,True
102687,Donhead Preparatory School,,,,True
102688,Hazelhurst School for Girls,,,,False
102689,The Study Preparatory School,,,,True
102690,Wimbledon Common Preparatory School,,,,True
102691,Wimbledon House School,,,,False
102692,Wimbledon High School GDST,306983,00006400,,True
102693,Norwegian School in London,282358,01552721,,True
102695,St Matthew's Montessori School,,,,False
102789,Grangewood Independent School,803492,02435643,,True
102790,The Cedar School,,,,False
102864,St Aubyn's School,270143,01218766,,True
102865,St Joseph's Convent School,290544,,,False
102866,Woodford Green Preparatory School,310930,00621311,,True
102867,Beehive Preparatory School,,,,True
102868,Cranbrook,,02313425,,False
102869,Eastcourt Independent School,,,,True
102870,Glenarm College,,02313425,,False
102871,Snaresbrook Prep School,,,,True
102872,Avon House School,,00802713,,True
102873,Park School for Girls,,,,True
102874,The Ursuline Prep School Ilford,1130196,06636240,,True
102875,Bancrofts School,1068532,03513962,,True
102876,Ilford Grammar School,,,,False
102930,Denmead School,,,,False
102931,King's House School,312669,00590559,,True
102932,Lady Eleanor Holles School,1130254,06871042,,True
102933,The Mall School,,,,True
102934,Newland House School,312670,01004580,,True
102935,The Old Vicarage School,312671,01092758,,True
102936,St Catherine's School,260815,,,True
102937,Tower House School,1068844,03345004,,True
102938,Broomfield House School,,,,True
102939,Jack and Jill School,,,,True
102940,Kew College,286059,01678837,,True
102941,Athelstan House School,,,,False
102942,St Paul's School,1119619,06141973,,True
102943,Twickenham Preparatory School,1067572,03475951,,True
102944,Unicorn School,312578,00993831,,True
102945,The German School,,,,True
102946,Hampton School,1120005,06264434,,True
102947,The Royal Ballet School,,,,True
102948,The Swedish School,,,,True
102949,The Montessori Pavilion School,,,,False
102950,The Harrodian School,,,,True
102951,Sunflower Montessori School,,,,False
103015,Homefield Preparatory School,312753,00887719,,True
103016,Ambleside Junior School,,,,False
103017,Collingwood School,,,,True
103018,Glaisdale School,,,,False
103019,Seaton House School,800673,02151420,,True
103022,Sutton High School GDST,306983,00006400,,True
103023,Stowford College,,,,False
103110,Forest School,,,,True
103111,Hyland House School,1045587,,,True
103112,Normanhurst School,,,,True
103113,Forest Preparatory School,,,,False
103564,St George's School Edgbaston,,,,True
103565,Edgbaston College,,,,False
103566,Priory School,518009,02042309,,True
103567,Edgbaston High School for Girls,504011,00010631,,True
103568,Hallfield School,528956,00631045,,True
103569,Honeybourne School,,,,False
103570,Eastbourne House School,,,,False
103571,Eccleston School,,,,False
103572,Norfolk House School,,,,True
103573,Rosslyn School and Day Nursery,,,,True
103574,Chetwynd House School,,,,False
103575,West House School,528959,00634981,,True
103576,Highclare School,528940,01074596,,True
103577,Highclare School St Paul's,,,,False
103578,The Shrubbery School Ltd,,,,True
103579,Wylde Green College,,,,False
103580,The Blue Coat School Birmingham,528805,,,True
103581,Astwell Preparatory School,,,,False
103582,St Paul's Community School,,,,False
103583,Rathvilly School,,,,False
103584,King Edward's School,,,,True
103585,King Edward VI High School for Girls,,,,True
103586,Darul Uloom Islamic High School,,,,True
103587,Mander Portman Woodward Independent College,,,,True
103589,The Harper Bell Adventist School,,,,False
103590,Al-Hijrah School,,,,False
103591,Birchfield Independent Girls' School,,,,True
103592,Al-Furqan Solihul,,,,False
103593,Birmingham Private School for Boys,,,,False
103594,Bethel Christian School,,,,False
103595,Al Huda Girls' School,,,,True
103596,Handsworth Alternative School,,,,False
103597,Edgbaston School of Technology,,,,False
103599,Abbey College,,00438111,,False
103746,Coventry Preparatory School,528961,10138291,,False
103747,Pattison College,,11947624,,True
103748,Davenport Lodge School,,00438111,,False
103749,Cheshunt School,528961,10138291,,False
103750,King Henry VIII School,528961,10138291,,True
103751,Bablake School,528961,10138291,,True
103752,Kenderdine Montessori School,,,,False
103753,Lote Tree Primary School,,,,True
103754,Bablake Junior and Pre-prep School,528961,10138291,,True
103876,Elmfield Rudolf Steiner School Limited,527521,01141571,,True
104023,Haden Hill School,,,,False
104122,Eversfield Preparatory School,1114801,,,True
104123,Saint Martin's School,528967,00772557,,False
104124,Solihull School,1120597,06337650,,True
104125,Kingsley Preparatory School,,,,False
104126,Montessori School,,,,False
104127,Ruckleigh School,,,,True
104128,Kingswood School,309148,,,True
104129,The City Technology College,,,,False
104265,Mayfield Preparatory School,,,,True
104266,Hydesville Tower School,,02313425,,True
104267,Palfrey Girls School,,,,False
104405,The Royal Wolverhampton School,,,,False
104406,Royal Wolverhampton Junior School,,,,False
104407,Tettenhall College Incorporated,528617,00141727,,True
104408,Newbridge Preparatory School,1019682,00414993,,True
104409,The Drive School,,,,False
104410,St Joseph Convent,,,,False
104411,Wolverhampton Grammar School,1125268,06610261,,True
104722,Liverpool College International,,,,False
104723,Carleton House Preparatory School,505310,01260765,,True
104724,Beechenhurst Preparatory School,,,,False
104725,Newborough School,,,,False
104726,Elliott-Clarke School,,,,False
104727,McKee School,,,,False
104728,Runnymede St Edward's School,,,,False
104729,The Belvedere Preparatory School,1147426,,,True
104730,Christian Fellowship School,1079325,03906000,,True
104731,Oaktree Education Trust,518235,,,False
104836,Newton Bank Preparatory School,,,,False
104837,Tower College,526611,00810183,,True
104966,Streatham Schools,,,,False
104967,Tower Dene Preparatory School,,,,False
104968,Sunnymede School,,,,False
104969,Kingswood School,309148,,,False
104971,Atherton House School,,,,False
104972,St. Mary's College,,,,True
104973,Merchant Taylors' Boys' School,,,,True
104974,Merchant Taylors' Girls' School,,,,True
105116,Highfield School,,,,False
105117,Pershore House School,,,,False
105118,Prenton Preparatory School,,,,True
105119,Westbourne School,529381,00936709,,False
105120,Marymount School,,,,False
105121,Kingsmead School,525920,00885772,,False
105122,Avalon School,1088050,04050603,,True
105123,Birkenhead School,1093419,04492250,,True
105124,Birkenhead High School,306983,00006400,,False
105125,Redcourt - St Anselm's,1053701,,,False
105126,Heswall Preparatory School,,,,False
105127,Benty Heath School and Kindergarten,,,,False
105269,Lord's School,1158127,,,True
105270,Clevelands Prep School,,,,True
105271,Bolton School Boys' Division,,,,True
105272,Bolton School Girls' Division,,,,True
105273,Bolton Muslim Girls' School,1005715,,,False
105369,Bury Catholic Preparatory School,509280,01433487,,True
105370,Manchester Jewish Grammar School,526607,,,False
105371,Whitefield Preparatory School,,,,False
105372,Darul Uloom Al Arabiya Al Islamiya,506980,,,True
105373,Bury Grammar Schools,,,,True
105374,Bury Grammar School Girls,,,,False
105585,Moor Allerton Preparatory School,,,,True
105586,Amberleigh Preparatory School,,,,False
105587,The Chadderton Prepraratory School,,,,True
105588,Chetham's School of Music,,,,True
105589,Oaklands Preparatory School,,,,False
105590,Rosecroft School Didsbury,,,,False
105591,The Manchester Grammar School,,,,True
105592,Manchester High School for Girls,1164323,09665070,,True
105593,William Hulme's Grammar School,,,,False
105594,St Bede's College,700808,02277006,,True
105595,Withington Girls' School,1158226,09083954,,True
105596,King of Kings,518471,02022869,,True
105597,Manchester Preparatory School,,,,False
105598,Manchester Muslim Preparatory School,1073862,03544402,,True
105600,Iranian School of Manchester,,,,False
105601,Abbey College Manchester,,,,True
105743,Oldham Hulme Kindergarten,526636,06125927,,False
105744,Grasscroft Independent School,,,,False
105745,Oldham Hulme Grammar School,,,,True
105746,Hulme Grammar School for Girls,,,,False
105747,Farrowdale House School,,,,True
105854,Convent Primary School,,,,False
105855,Beech House School,,,,True
105856,Glebe House School,1018815,02736338,,False
105857,Emmanuel Christian School,1073526,,,False
105990,Ash Lea School,,,,False
105991,Branwood Preparatory School,515073,01644174,,True
105992,Bridgewater School,1105547,05190072,,True
105993,Talmud Torah Chinuch Norim School,,,,True
105994,Hubert Jewish High School for Girls,,,,False
105995,Jewish Senior Boys' School,,,,False
105996,Bnos Yisroel School Manchester,1142654,07049059,,True
105997,Prestwich Preparatory School,,,,True
105998,Ohelei Yossef Yitzchok School,,,,False
105999,Mechinoh School,,,,True
106000,Monton Village School,,02453929,,False
106001,Clarendon Cottage School,1107180,,,True
106002,Tashbar of Manchester,,,,True
106003,Manchester Junior Girls' School,,,,True
106004,Oholei Yosef Yitzchok Lubavitch Schools,1168395,09858903,,True
106005,Etz Chaim School,,,,False
106145,Hillcrest Grammar School,,,,False
106146,Syddal Park School,,,,False
106147,Brabyns Preparatory School,,,,True
106148,Greenbank Preparatory School,525930,01007854,,True
106149,Lady Barn House School,1042587,02986515,,True
106151,Hulme Hall Grammar School,525931,00773867,,True
106152,Cheadle Hulme Junior School,,,,False
106153,Oriel Bank,,,,False
106154,Stella Maris School,505848,,,True
106155,St Catherine's Preparatory School,517487,,,False
106156,Stockport Grammar School,1120199,06261525,,True
106157,Cheadle Hulme School,1077017,03823129,,True
