company_number,charity_number
CE005506,1164155
CE003719,1160914
CE003372,1159445
CE014180,1179017
CE005148,1162862
CE015982,1181264
CE014754,1179368
CE009256,1170557
CE013886,1178077
CE014097,1178384
CE014119,1178414
CE009279,1170595
CE015467,1180451
CE005298,1165364
CE012246,1174705
CE009787,1172352
CE006005,1165099
CE009544,1170993
CE002886,1160209
CE008757,1169118
CE001870,1156931
CE015429,1180396
CE001338,1154438
CE008029,1169515
CE004072,1161573
CE005983,1165061
CE006719,1165729
CE016037,1181337
CE007528,1167670
CE012681,1176302
CE004661,1163516
CE007122,1168418
CE009597,1171073
CE001644,1158279
CE011470,1174963
CE015705,1180854
CE006419,1166614
CE008702,1169021
CE001653,1158292
CE013405,1177363
CE005334,1165435
CE007291,1167271
CE007807,1168128
CE007621,1167815
CE005615,1164388
CE008358,1169849
CE009102,1170296
CE009200,1170476
CE000976,1156797
CE005240,1165271
CE002128,1157512
CE013546,1177568
CE007215,1168566
CE014437,1178947
CE015156,1179971
CE002210,1157708
CE007515,1167642
CE000494,1152521
CE014614,1179160
CE008720,1169052
CE007771,1168068
CE012883,1176597
CE015057,1179814
CE015326,1180229
CE015741,1180905
CE014987,1179707
CE009611,1171095
CE007227,1168579
CE002799,1160034
CE006215,1166501
CE002596,1159868
CE002016,1157254
CE006844,1165914
CE010055,1172577
CE015934,1181194
CE014059,1178321
CE014831,1179489
CE008996,1171441
CE010869,1173112
CE015649,1180751
CE015470,1180457
CE012943,1176695
CE015805,1180997
CE012623,1176215
CE014877,1179553
CE014677,1179253
CE013915,1178111
CE009208,1170485
CE004571,1164000
CE007674,1167908
CE013152,1177015
CE001619,1158228
CE010003,1173058
CE009680,1172167
CE001805,1158639
CE015568,1180609
CE014802,1179448
CE016016,1181308
CE009894,1172518
CE008271,1169722
CE013356,1177296
CE008985,1171424
CE001993,1157208
CE015920,1181177
CE003096,1158844
CE009930,1172944
CE012423,1175891
CE001856,1156898
CE011153,1173577
CE000687,1155419
CE010478,1171900
CE010992,1173309
CE012475,1175973
CE007275,1167244
CE010275,1171583
CE007089,1168354
CE013062,1176874
CE003152,1158962
CE002590,1159859
CE001175,1156445
CE007930,1169354
CE001116,1156277
CE010331,1171669
CE008704,1169025
CE013819,1177982
CE006852,1165934
CE011226,1173687
CE012999,1176773
CE003198,1159059
CE010965,1173274
CE002884,1160207
CE013075,1176901
CE010581,1172067
CE007675,1167910
CE013431,1177407
CE000264,1150938
CE003505,1162076
CE002682,1160527
CE012001,1175601
CE009553,1171004
CE007106,1168382
CE000645,1155271
CE013936,1178145
CE008036,1169525
CE001220,1156540
CE001112,1156263
CE011450,1174933
CE004850,1162340
CE015953,1181221
CE011081,1173455
CE000402,1151953
CE014256,1178586
CE001384,1154607
CE013286,1177200
CE013905,1178098
CE000147,1153650
CE007767,1168060
CE013854,1178033
CE010994,1173311
CE007960,1169402
CE005008,1162617
CE014625,1179179
CE011593,1175147
CE009377,1170740
CE012158,1174564
CE010866,1173103
CE014734,1179341
CE013710,1177810
CE003986,1161423
CE009975,1173018
CE000845,1155865
CE014122,1178420
CE007501,1167622
CE014775,1179396
CE004320,1163135
CE010709,1174149
CE002879,1160194
CE007023,1168240
CE009284,1170601
CE010747,1174208
CE009701,1172201
CE011669,1175268
CE002719,1160598
CE000414,1152003
CE010303,1171631
CE002110,1157470
CE011284,1173777
