RP Code,Company Number,Charity Number,Org ID
A3825,,226852,GB-CHC-226852
A3623,,225965,GB-CHC-225965
4714,IP031376,,GB-COH-IP031376
5050,RS007038,,GB-COH-RS007038
L4254,03752751,1151945,GB-CHC-1151945
A0811,,200821,GB-CHC-200821
L1976,IP12773R,,GB-COH-IP12773R
12UB,,,GB-LAE-CAB
C1981,IP20301R,,GB-COH-IP20301R
41UB,,,GB-LAE-CAN
29UC,,,GB-LAE-CAT
4672,04653659,1172276,GB-CHC-1172276
4841,08075329,1147794,GB-CHC-1147794
4709,04580256,,GB-COH-04580256
22UE,,,GB-LAE-CAS
4858,RS007617,,GB-COH-RS007617
L0699,IP16561R,,GB-COH-IP16561R
C3856,IP26335R,,GB-COH-IP26335R
L0047,IP18909R,,GB-COH-IP18909R
H1528,IP27693R,,GB-COH-IP27693R
00KC,,,GB-LAE-CBF
H1869,01929421,292411,GB-CHC-292411
4641,06985746,1134768,GB-CHC-1134768
A2820,,205766,GB-CHC-205766
A2891,,244571,GB-CHC-244571
A2706,,237078,GB-CHC-237078
A3681,,232646,GB-CHC-232646
A3751,,801604,GB-CHC-801604
A0364,,201750,GB-CHC-201750
A2710,,221555,GB-CHC-221555
A2395,,224718,GB-CHC-224718
A4057,,215596,GB-CHC-215596
A4430,,230124,GB-CHC-230124
A3540,,218543,GB-CHC-218543
A0831,,267638,GB-CHC-267638
A3990,,243833,GB-CHC-243833
L4212,,1074613,GB-CHC-1074613
31UC,,,GB-LAE-CHA
4821,08662400,1162562,GB-CHC-1162562
L4331,,1149019,GB-CHC-1149019
5096,,,GB-LAE-CHL
23UB,,,GB-LAE-CHT
4572,04587658,,GB-COH-04587658
H4270,,250195,GB-CHC-250195
A2604,,200834,GB-CHC-200834
C3608,IP24833R,,GB-COH-IP24833R
38UB,,,GB-LAE-CHR
L4472,RS007528,,GB-COH-RS007528
00EW,,,GB-LAE-CHW
17UD,,,GB-LAE-CHS
LH3942,IP27077R,,GB-COH-IP27077R
L1306,IP19118R,,GB-COH-IP19118R
C3497,IP21903R,,GB-COH-IP21903R
L3642,IP025155,,GB-COH-IP025155
L1693,IP17650R,,GB-COH-IP17650R
A0821,,212419,GB-CHC-212419
L4178,IP26995R,,GB-COH-IP26995R
L4487,IP30155R,,GB-COH-IP30155R
30UE,,,GB-LAE-CHO
L4398,04782653,,GB-COH-04782653
LH4253,03736718,,GB-COH-03736718
LH0676,IP23577R,,GB-COH-IP23577R
4751,IP29818R,,GB-COH-IP29818R
A2868,,201387,GB-CHC-201387
A2070,,258758,GB-CHC-258758
L0104,IP21222R,,GB-COH-IP21222R
LH2916,IP22545R,,GB-COH-IP22545R
L1444,IP13733R,,GB-COH-IP13733R
5075,RS008181,,GB-COH-RS008181
00CX,,,GB-LAE-BRD
H3905,02449636,803226,GB-CHC-803226
32UD,,,GB-LAE-LIC
H1720,00560870,210443,GB-CHC-210443
00AA,,,GB-LAE-LND
A4055,,1040554,GB-CHC-1040554
00BK,,,GB-LAE-WSM
00FF,,,GB-LAE-YOR
4865,RS007686,,GB-COH-RS007686
LH4087,IP28038R,,GB-COH-IP28038R
L0156,IP20078R,,GB-COH-IP20078R
A1056,,218376,GB-CHC-218376
C3041,IP22517R,,GB-COH-IP22517R
LH4165,03284666,1066916,GB-CHC-1066916
L4361,IP29516R,,GB-COH-IP29516R
C3729,IP25567R,,GB-COH-IP25567R
22UG,,,GB-LAE-COL
A2482,,205441,GB-CHC-205441
LH1651,IP20799R,,GB-COH-IP20799R
A3325,,1189922,GB-CHC-1189922
A3033,,221281,GB-CHC-221281
C2457,IP21872R,,GB-COH-IP21872R
L4457,IP29838R,,GB-COH-IP29838R
4780,06682644,,GB-COH-06682644
A2991,,216763,GB-CHC-216763
L2285,IP17445R,,GB-COH-IP17445R
LH4353,,1105907,GB-CHC-1105907
L3261,IP23607R,,GB-COH-IP23607R
C3554,IP23694R,,GB-COH-IP23694R
A4153,,223340,GB-CHC-223340
A3647,,203831,GB-CHC-203831
C3675,IP25197R,,GB-COH-IP25197R
C3756,IP025165,,GB-COH-IP025165
LH0170,IP17107R,,GB-COH-IP17107R
A2946,,226757,GB-CHC-226757
C2417,IP21732R,,GB-COH-IP21732R
L0147,IP14457R,,GB-COH-IP14457R
C0580,IP18303R,,GB-COH-IP18303R
5088,IP30200R,,GB-COH-IP30200R
00HE,,,GB-LAE-CON
4570,04662007,,GB-COH-04662007
L3613,RS024935,,GB-COH-RS024935
LH1960,IP13969R,,GB-COH-IP13969R
C2787,IP22359R,,GB-COH-IP22359R
L0284,IP19473R,,GB-COH-IP19473R
5073,RS008003,,GB-COH-RS008003
L4312,03973387,,GB-COH-03973387
00HF,,,GB-LAE-IOS
A1071,,213030,GB-CHC-213030
H4433,04644358,1100493,GB-CHC-1100493
A0581,,228486,GB-CHC-228486
36UB,,,GB-LAE-CRA
45UE,,,GB-LAE-CRW
C3125,IP23039R,,GB-COH-IP23039R
4689,IP27440R,,GB-COH-IP27440R
H4058,02875065,1030782,GB-CHC-1030782
4715,07899933,,GB-COH-07899933
4764,07765904,,GB-COH-07765904
L1719,IP19175R,,GB-COH-IP19175R
LH4428,RS007643,,GB-COH-RS007643
C3335,IP22774R,,GB-COH-IP22774R
LH0495,IP17772R,,GB-COH-IP17772R
SL3118,IP23010R,,GB-COH-IP23010R
LH4336,04302179,,GB-COH-04302179
LH4209,RS007091,,GB-COH-RS007091
L1530,IP17479R,,GB-COH-IP17479R
C2695,IP22170R,,GB-COH-IP22170R
26UC,,,GB-LAE-DAC
A4408,,235143,GB-CHC-235143
A3010,,204351,GB-CHC-204351
C3300,IP23662R,,GB-COH-IP23662R
00EH,,,GB-LAE-DAL
LH2346,IP21751R,,GB-COH-IP21751R
A2448,,210339,GB-CHC-210339
29UD,,,GB-LAE-DAR
L2023,,209301,GB-CHC-209301
C3890,IP26469R,,GB-COH-IP26469R
5058,RS008724,,GB-COH-RS008724
A4271,,212230,GB-CHC-212230
C4100,IP28373R,,GB-COH-IP28373R
C3691,IP25315R,,GB-COH-IP25315R
4792,08561164,1155073,GB-CHC-1155073
C2300,RS021824,,GB-COH-RS021824
00FK,,,GB-LAE-DER
4576,04380984,,GB-COH-04380984
5100,,,GB-LAE-DEB
