RP Code,Company Number,Charity Number,Org ID
4677,05886593,,GB-COH-05886593
4790,IP032253,,GB-COH-IP032253
L0715,IP18127R,,GB-COH-IP18127R
5081,11316045,,GB-COH-11316045
4648,IP031192,,GB-COH-IP031192
C3226,IP22957R,,GB-COH-IP22957R
4787,08580060,,GB-COH-08580060
4813,IP032446,,GB-COH-IP032446
00CE,,,GB-LAE-DNC
H3639,,250973,GB-CHC-250973
A2255,,207251,GB-CHC-207251
A2917,,206379,GB-CHC-206379
5099,,,GB-LAE-DST
4852,03973592,,GB-COH-03973592
29UE,,,GB-LAE-DOV
A2367,,221225,GB-CHC-221225
LH4090,IP28156R,,GB-COH-IP28156R
00CR,,,GB-LAE-DUD
A4157,,240563,GB-CHC-240563
5087,01041946,501556,GB-CHC-501556
5125,,222673,GB-CHC-222673
A3213,,222673,GB-CHC-222673
00EJ,,,GB-LAE-DUR
A2721,,219582,GB-CHC-219582
A3538,,204123,GB-CHC-204123
A3485,,512195,GB-CHC-512195
L0519,IP16946R,,GB-COH-IP16946R
18UB,,,GB-LAE-EDE
L4434,04516155,1107691,GB-CHC-1107691
26UD,,,GB-LAE-EHE
L4530,IP030476,,GB-COH-IP030476
00FB,,,GB-LAE-ERY
5070,,,GB-LAE-ESK
21UC,,,GB-LAE-EAS
5133,,,GB-LAE-EAT
L4499,IP30124R,,GB-COH-IP30124R
4670,05439373,1115721,GB-CHC-1115721
LH3882,IP26343R,,GB-COH-IP26343R
L0451,IP16991R,,GB-COH-IP16991R
L4140,IP28435R,,GB-COH-IP28435R
C2745,IP22237R,,GB-COH-IP22237R
C3098,IP22859R,,GB-COH-IP22859R
LH3940,IP25683R,,GB-COH-IP25683R
L3262,IP23431R,,GB-COH-IP23431R
C3609,IP24822R,,GB-COH-IP24822R
A1168,,220857,GB-CHC-220857
LH0977,RS016402,,GB-COH-RS016402
A2786,,217309,GB-CHC-217309
A3205,,209211,GB-CHC-209211
C3129,IP22994R,,GB-COH-IP22994R
H0374,00738023,220392,GB-CHC-220392
4775,IP032198,,GB-COH-IP032198
A3838,,501041,GB-CHC-501041
A3386,,205892,GB-CHC-205892
4663,04874816,,GB-COH-04874816
L4167,03333405,1118644,GB-CHC-1118644
4784,RS008071,,GB-COH-RS008071
L4004,IP27606R,,GB-COH-IP27606R
LH0526,00173199,211235,GB-CHC-211235
22UH,,,GB-LAE-EPP
L0038,IP13658R,,GB-COH-IP13658R
L3535,IP23240R,,GB-COH-IP23240R
A3245,,229908,GB-CHC-229908
L2650,,1051498,GB-CHC-1051498
C3023,IP22834R,,GB-COH-IP22834R
H4400,04796537,1099051,GB-CHC-1099051
C3284,IP23090R,,GB-COH-IP23090R
4794,08519802,,GB-COH-08519802
18UC,,,GB-LAE-EXE
A1921,,201530,GB-CHC-201530
4774,08272357,1152491,GB-CHC-1152491
L3790,RS025604,,GB-COH-RS025604
C0447,IP21474R,,GB-COH-IP21474R
4797,07902595,,GB-COH-07902595
4771,06653419,,GB-COH-06653419
L3629,IP24994R,,GB-COH-IP24994R
C2747,RS022082,,GB-COH-RS022082
L1236,IP18542R,,GB-COH-IP18542R
24UE,,,GB-LAE-FAR
A3761,,1167718,GB-CHC-1167718
5049,08423003,,GB-COH-08423003
A3989,,237291,GB-CHC-237291
C2949,IP22007R,,GB-COH-IP22007R
4832,08733712,,GB-COH-08733712
4582,IP031138,,GB-COH-IP031138
5090,RS008333,,GB-COH-RS008333
4702,07749192,,GB-COH-07749192
4569,04533752,,GB-COH-04533752
A2363,,207524,GB-CHC-207524
L2195,IP21187R,,GB-COH-IP21187R
4651,IP031211,,GB-COH-IP031211
5140,12630477,,GB-COH-12630477
29UL,,,GB-LAE-SHE
A3536,,202643,GB-CHC-202643
L0087,IP16466R,,GB-COH-IP16466R
L4528,IP030483,,GB-COH-IP030483
A4023,,255280,GB-CHC-255280
4688,01829004,515517,GB-CHC-515517
LH0910,RS020179,,GB-COH-RS020179
LH4184,03318404,1060941,GB-CHC-1060941
A4071,,225140,GB-CHC-225140
A0656,,222746,GB-CHC-222746
L1680,IP14582R,,GB-COH-IP14582R
C3991,IP26079R,,GB-COH-IP26079R
L4463,IP29744R,,GB-COH-IP29744R
A2709,,209795,GB-CHC-209795
4739,OC378356,,GB-COH-OC378356
L4204,IP28841R,,GB-COH-IP28841R
4829,09353468,,GB-COH-09353468
L4372,04380728,1105751,GB-CHC-1105751
L4498,05775392,1120949,GB-CHC-1120949
L4502,06293737,,GB-COH-06293737
00CH,,,GB-LAE-GAT
L0517,IP10433R,,GB-COH-IP10433R
5124,,,GB-LAE-GED
C3906,RS026862,,GB-COH-RS026862
L4313,RS007302,,GB-COH-RS007302
5123,,211197,GB-CHC-211197
A3038,,211197,GB-CHC-211197
A4080,,220680,GB-CHC-220680
L3598,IP22622R,,GB-COH-IP22622R
C3378,IP023827,,GB-COH-IP023827
L0664,IP19874R,,GB-COH-IP19874R
C2730,IP22274R,,GB-COH-IP22274R
23UE,,,GB-LAE-GLO
4584,RS007041,,GB-COH-RS007041
L3626,IP24854R,,GB-COH-IP24854R
A3267,09537230,1164175,GB-CHC-1164175
C4135,IP28487R,,GB-COH-IP28487R
4803,RS008734,,GB-COH-RS008734
LH4402,RS007628,,GB-COH-RS007628
