org_id_a,org_id_b,name
GB-SC-SC003695,GB-COH-SC398044,BIGGAR MUSEUM TRUST
GB-SC-SC003712,GB-COH-SC103046,SRUC
GB-SC-SC003725,GB-COH-SC086932,EARLY YEARS SCOTLAND
GB-SC-SC003783,GB-COH-SC228528,BETHANY CHRISTIAN TRUST
GB-SC-SC003949,GB-COH-SC110186,LEAD SCOTLAND
GB-SC-SC003951,GB-COH-SC136118,INVERNESS BADENOCH AND STRATHSPEY CITIZENS ADVICE BUREAU
GB-SC-SC004057,GB-COH-SC396186,ARRAN COMMUNITY AND VOLUNTARY SERVICE
GB-SC-SC004089,GB-COH-SC091095,THE WISE GROUP
GB-SC-SC004128,GB-COH-SC124090,HEALTH IN MIND
GB-SC-SC004144,GB-COH-SC124799,KIRKCUDBRIGHT SWIMMING POOL LIMITED
GB-SC-SC004202,GB-COH-SC160605,ROTARY RESIDENTIAL AND CARE CENTRES
GB-SC-SC004463,GB-COH-SC108265,JORDANHILL SCHOOL
GB-SC-SC004494,GB-COH-SC171673,BROOMHILL DAY CENTRE PENICUIK
GB-SC-SC004505,GB-COH-SC123283,KEITH AND STRATHISLA REGENERATION PARTNERSHIP
GB-SC-SC004545,GB-COH-SC390765,HARVEST MINISTRIES LIMITED
GB-SC-SC004583,GB-COH-SC280854,HOME-START DUNDEE
GB-SC-SC004608,GB-COH-SC128338,THE TALL SHIP GLENLEE TRUST
GB-SC-SC004636,GB-COH-SC405791,WESTERN ISLES HOSPITAL LEAGUE OF FRIENDS
GB-SC-SC004694,GB-COH-SC024766,EDINBURGH INTERNATIONAL FESTIVAL SOCIETY
GB-SC-SC004864,GB-COH-SC126239,DENNY & DUNIPACE CITIZENS ADVICE BUREAU LIMITED
GB-SC-SC004883,GB-COH-SC154075,GORDON RURAL ACTION
GB-SC-SC004894,GB-COH-SC114228,STEPPING STONES FOR FAMILIES
GB-SC-SC004900,GB-COH-SC397950,PEEBLES AND DISTRICT CITIZENS ADVICE BUREAU
GB-SC-SC004912,GB-COH-SC251751,DALBEATTIE & DISTRICT COMMUNITY DAY CENTRE FOR OLDER PEOPLE
GB-SC-SC004981,GB-COH-SC099312,HIGHLAND PRINT STUDIO
GB-SC-SC004987,GB-COH-SC032004,CRUDEN FOUNDATION LIMITED
GB-SC-SC005006,GB-COH-SC229409,PUSH (PERTH & KINROSS) LIMITED
GB-SC-SC005019,GB-COH-SC024627,MCNEIL TRUST LIMITED
GB-SC-SC005050,GB-COH-SC066490,CUMBERNAULD THEATRE TRUST LIMITED
GB-SC-SC005054,GB-COH-SC636405,KINCARDINE COMMUNITY ASSOCIATION LTD
GB-SC-SC005114,GB-COH-SC231198,SOUTH EDINBURGH AMENITIES GROUP
GB-SC-SC005117,GB-COH-00552847,LEONARD CHESHIRE DISABILITY
GB-SC-SC005226,GB-COH-SC087782,PROJECT ABILITY LIMITED
GB-SC-SC005227,GB-COH-SC337534,GLASGOW WOMEN'S AID
GB-SC-SC005244,GB-COH-SC143552,PILLAR KINCARDINE
GB-SC-SC005267,GB-COH-SC179994,JEWISH CARE SCOTLAND
GB-SC-SC005315,GB-COH-SC161033,SHARED CARE SCOTLAND
GB-SC-SC005380,GB-COH-SC101005,CAPPELLA NOVA
GB-SC-SC005576,GB-COH-SC087888,THE FRUITMARKET GALLERY
GB-SC-SC005623,GB-COH-SC280689,ST MARGARET OF SCOTLAND HOSPICE
GB-SC-SC005641,GB-COH-SC202642,GLASGOW NORTH WEST CITIZENS ADVICE SERVICE LTD
GB-SC-SC005663,GB-COH-SC137717,MONEY ADVICE SCOTLAND
GB-SC-SC005741,GB-COH-SC366047,NAIRN HYDROTHERAPY TRUST
GB-SC-SC005755,GB-COH-SC219168,RENFREWSHIRE SOUND TALKING NEWSPAPER FOR THE BLIND
GB-SC-SC005776,GB-COH-SC212157,WEST LOTHIAN DRUG & ALCOHOL SERVICE
GB-SC-SC005794,GB-COH-SC366048,THE SPEY FOUNDATION
GB-SC-SC005813,GB-COH-SC199686,EASTERHOUSE PROJECT
GB-SC-SC005848,GB-COH-SC410954,THE BLACK WATCH REGIMENTAL TRUST LIMITED
GB-SC-SC005914,GB-COH-SC568857,UNIVERSITY OF STRATHCLYDE STUDENTS' ASSOCIATION
GB-SC-SC005964,GB-COH-SC105634,THE ACTION GROUP
GB-SC-SC006065,GB-COH-SC406209,HEALTH ALL ROUND
GB-SC-SC006091,GB-COH-SC051098,OCHIL TOWER SCHOOL LIMITED
