Old charity number,New charity number,Name
1069389,1101914,GATEWAY (EDUCATION & CHILDCARE) TRUST LIMITED
1132157,1171914,GLORY AND FIRE MINISTRIES INTERNATIONAL
1139142,1175271,GLOUCESTER STREET PASTORS
1024467,1180435,GOOSTREY PRE-SCHOOL
1107588,1156871,GRACE CHURCH MILTON KEYNES
1103419,1175373,GRACE CHURCH NOTTINGHAM
1129169,1180195,GRACE COMMUNITY CHURCH BEDFORD
523429,1162272,GRENFELL CLUB
1113207,1158499,GREYHOUND GAP
250102,1163210,HALIFAX AND DISTRICT YOUNG MEN'S CHRISTIAN ASSOCIATION
299633,1181370,HAMPSHIRE AND THE ISLANDS HISTORIC CHURCHES TRUST
1098332,1174085,HAMPSHIRE SEARCH AND RESCUE
1092649,1168484,HAMPSTEAD GARDEN OPERA TRUST LTD
1145862,1176805,HAND IN HAND FOR AID AND DEVELOPMENT
292173,1176053,HARNHILL CENTRE OF CHRISTIAN HEALING
224941,1179665,HARRISON AND POTTER TRUST
1109704,1179075,HART GABLES
529474,1173116,HARTLEY EDUCATIONAL FOUNDATION
260937,1170624,HARWICH AND DISTRICT FELLOWSHIP FOR THE SICK
273567,1174807,HARWICH ELECTRIC PALACE TRUST
1027041,1169580,HATHERLEIGH PRE-SCHOOL
301545,1176993,HAWKESBURY HOSPITAL HALL
1136555,1173808,HAWKINGE COMMUNITY AFTER SCHOOL CLUB
1089981,1161751,HAWTHORN TREE COMMUNITY CHILDREN'S CENTRE
1144461,1178587,HEADLEY PARK CHURCH
502900,1171784,HEALEY COMMUNITY ASSOCIATION
1121605,1173120,HEALTH AND LOCAL FOOD FOR FAMILIES
1155309,1175762,HELPING RHINOS
308085,1171990,HENBURY AND BRENTRY COMMUNITY COUNCIL
1144049,1179570,HENGOED COMMUNITY PROJECT
1082309,1177931,HEREFORDSHIRE HEARTSTART
1053609,1151298,HERRIOT HOSPICE HOMECARE
1136031,1180955,HERTS INCLUSIVE THEATRE
521118,1180178,HESKETH BANK COMMUNITY CENTRE
1018521,1171372,HESLINGTON PRE-SCHOOL
1080244,1166157,HEXHAM YOUTH INITIATIVE
1117924,1172158,HHUGS - HELPING HOUSEHOLDS UNDER GREAT STRESS
