org_id_a,company_number,charity_number,org_id_b,relationship,source,sameas,Registered housing providers
GB-SHPE-L4455,IP29876R,,GB-COH-IP29876R,sameas,Registered housing providers
GB-SHPE-42UB,,,GB-LAE-BAB,sameas,Registered housing providers
GB-SHPE-4773,IP26575R,,GB-COH-IP26575R,sameas,Registered housing providers
GB-SHPE-LH1647,IP13299R,,GB-COH-IP13299R,sameas,Registered housing providers
GB-SHPE-C2437,IP21858R,,GB-COH-IP21858R,sameas,Registered housing providers
GB-SHPE-L4534,IP27419R,,GB-COH-IP27419R,sameas,Registered housing providers
GB-SHPE-L0394,IP17761R,,GB-COH-IP17761R,sameas,Registered housing providers
GB-SHPE-L2518,IP18135R,,GB-COH-IP18135R,sameas,Registered housing providers
GB-SHPE-00CC,,,GB-LAE-BNS,sameas,Registered housing providers
GB-SHPE-C3339,IP023741,,GB-COH-IP023741,sameas,Registered housing providers
GB-SHPE-16UC,,,GB-LAE-BAR,sameas,Registered housing providers
GB-SHPE-22UB,,,GB-LAE-BAI,sameas,Registered housing providers
GB-SHPE-37UC,,,GB-LAE-BAE,sameas,Registered housing providers
GB-SHPE-5110,,,GB-LAE-BAS,sameas,Registered housing providers
GB-SHPE-LH1028,IP13216R,,GB-COH-IP13216R,sameas,Registered housing providers
GB-SHPE-C2198,IP21669R,,GB-COH-IP21669R,sameas,Registered housing providers
GB-SHPE-L0913,IP19529R,,GB-COH-IP19529R,sameas,Registered housing providers
GB-SHPE-C3993,IP27131R,,GB-COH-IP27131R,sameas,Registered housing providers
GB-SHPE-5117,,,GB-LAE-BDF,sameas,Registered housing providers
GB-SHPE-LH1649,IP14845R,,GB-COH-IP14845R,sameas,Registered housing providers
GB-SHPE-SL3463,IP24230R,,GB-COH-IP24230R,sameas,Registered housing providers
GB-SHPE-4807,IP032132,,GB-COH-IP032132,sameas,Registered housing providers
GB-SHPE-C1810,IP21590R,,GB-COH-IP21590R,sameas,Registered housing providers
GB-SHPE-C2873,IP22367R,,GB-COH-IP22367R,sameas,Registered housing providers
GB-SHPE-5071,RS008076,,GB-COH-RS008076,sameas,Registered housing providers
GB-SHPE-A3448,,232743,GB-CHC-232743,sameas,Registered housing providers
GB-SHPE-LH3766,02163894,297877,GB-CHC-297877,sameas,Registered housing providers
GB-SHPE-4868,RS007711,,GB-COH-RS007711,sameas,Registered housing providers
GB-SHPE-4718,07375502,1143046,GB-CHC-1143046,sameas,Registered housing providers
GB-SHPE-A3334,,244329,GB-CHC-244329,sameas,Registered housing providers
GB-SHPE-L1216,IP20771R,,GB-COH-IP20771R,sameas,Registered housing providers
GB-SHPE-L0976,RS017138,,GB-COH-RS017138,sameas,Registered housing providers
GB-SHPE-A3035,,205964,GB-CHC-205964,sameas,Registered housing providers
GB-SHPE-LH4401,,1104989,GB-CHC-1104989,sameas,Registered housing providers
GB-SHPE-H1696,01618610,284839,GB-CHC-284839,sameas,Registered housing providers
GB-SHPE-L1397,IP19460R,,GB-COH-IP19460R,sameas,Registered housing providers
GB-SHPE-C3127,RS023041,,GB-COH-RS023041,sameas,Registered housing providers
GB-SHPE-L1299,IP19269R,,GB-COH-IP19269R,sameas,Registered housing providers
GB-SHPE-00CN,,,GB-LAE-BIR,sameas,Registered housing providers
GB-SHPE-L1389,IP18430R,,GB-COH-IP18430R,sameas,Registered housing providers
GB-SHPE-L2889,IP22624R,,GB-COH-IP22624R,sameas,Registered housing providers
GB-SHPE-L1511,IP21155R,,GB-COH-IP21155R,sameas,Registered housing providers
GB-SHPE-L1668,IP21157R,,GB-COH-IP21157R,sameas,Registered housing providers
GB-SHPE-4639,05194135,1106198,GB-CHC-1106198,sameas,Registered housing providers
GB-SHPE-00EY,,,GB-LAE-BPL,sameas,Registered housing providers
GB-SHPE-C4110,IP28428R,,GB-COH-IP28428R,sameas,Registered housing providers
GB-SHPE-4719,07825886,1154280,GB-CHC-1154280,sameas,Registered housing providers
GB-SHPE-4733,08083935,,GB-COH-08083935,sameas,Registered housing providers
GB-SHPE-A4196,,1015943,GB-CHC-1015943,sameas,Registered housing providers
GB-SHPE-A4038,,212834,GB-CHC-212834,sameas,Registered housing providers
GB-SHPE-17UC,,,GB-LAE-BOS,sameas,Registered housing providers
GB-SHPE-4568,RS007684,,GB-COH-RS007684,sameas,Registered housing providers
GB-SHPE-C3745,IP25801R,,GB-COH-IP25801R,sameas,Registered housing providers
GB-SHPE-C2788,IP22285R,,GB-COH-IP22285R,sameas,Registered housing providers
GB-SHPE-A4257,,243630,GB-CHC-243630,sameas,Registered housing providers
GB-SHPE-C3446,IP24120R,,GB-COH-IP24120R,sameas,Registered housing providers
GB-SHPE-L1002,IP19342R,,GB-COH-IP19342R,sameas,Registered housing providers
GB-SHPE-L0528,IP15920R,,GB-COH-IP15920R,sameas,Registered housing providers
GB-SHPE-LH0155,IP18497R,,GB-COH-IP18497R,sameas,Registered housing providers
GB-SHPE-H4246,03817056,1078728,GB-CHC-1078728,sameas,Registered housing providers
GB-SHPE-5069,,,GB-LAE-BPC,sameas,Registered housing providers
GB-SHPE-L0702,,219260,GB-CHC-219260,sameas,Registered housing providers
GB-SHPE-C1853,IP07226R,,GB-COH-IP07226R,sameas,Registered housing providers
GB-SHPE-L0302,IP15799R,,GB-COH-IP15799R,sameas,Registered housing providers
GB-SHPE-LH3887,IP26751R,,GB-COH-IP26751R,sameas,Registered housing providers
GB-SHPE-4860,01088965,503434,GB-CHC-503434,sameas,Registered housing providers
GB-SHPE-5132,12590273,1191575,GB-CHC-1191575,sameas,Registered housing providers
GB-SHPE-A3768,,517534,GB-CHC-517534,sameas,Registered housing providers
GB-SHPE-A0644,,230855,GB-CHC-230855,sameas,Registered housing providers
GB-SHPE-C3185,IP22481R,,GB-COH-IP22481R,sameas,Registered housing providers
GB-SHPE-L1007,IP16523R,,GB-COH-IP16523R,sameas,Registered housing providers
GB-SHPE-C4379,IP29317R,,GB-COH-IP29317R,sameas,Registered housing providers
GB-SHPE-4748,IP23652R,,GB-COH-IP23652R,sameas,Registered housing providers
GB-SHPE-22UD,,,GB-LAE-BRW,sameas,Registered housing providers
GB-SHPE-L1257,IP17727R,,GB-COH-IP17727R,sameas,Registered housing providers
GB-SHPE-L3921,02001246,299400,GB-CHC-299400,sameas,Registered housing providers
GB-SHPE-4736,07941530,1146838,GB-CHC-1146838,sameas,Registered housing providers
GB-SHPE-H4245,03746771,1076434,GB-CHC-1076434,sameas,Registered housing providers
GB-SHPE-H4315,IP21244R,,GB-COH-IP21244R,sameas,Registered housing providers
GB-SHPE-L3758,IP25495R,,GB-COH-IP25495R,sameas,Registered housing providers
GB-SHPE-A1614,,212270,GB-CHC-212270,sameas,Registered housing providers
GB-SHPE-00ML,,,GB-LAE-BNH,sameas,Registered housing providers
GB-SHPE-L0449,IP18784R,,GB-COH-IP18784R,sameas,Registered housing providers
GB-SHPE-C3638,IP22955R,,GB-COH-IP22955R,sameas,Registered housing providers
GB-SHPE-L0690,IP15926R,,GB-COH-IP15926R,sameas,Registered housing providers
GB-SHPE-H3835,02329407,800987,GB-CHC-800987,sameas,Registered housing providers
GB-SHPE-A4256,08272108,1075673,GB-CHC-1075673,sameas,Registered housing providers
GB-SHPE-00HB,,,GB-LAE-BST,sameas,Registered housing providers
