org_id_a,org_id_b,org_name,relationship,source
GB-CHC-1064864,GB-COH-12596629,PRIMARY SCIENCE TEACHING TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1065044,GB-COH-11464054,THE SHANLY FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1066859,GB-COH-08328194,HILLINGDON AUTISTIC CARE & SUPPORT LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1067197,GB-COH-07951541,THE SUTTON TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1067613,GB-COH-06260008,RIVER OF LIVING WATER,sameas,"Company Numbers for Charities"
GB-CHC-1068547,GB-COH-03497201,SPIRITUAL ASSEMBLY OF THE BAHA'IS OF WIRRAL,sameas,"Company Numbers for Charities"
GB-CHC-1069175,GB-COH-03488311,ONYXARTS FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1070069,GB-COH-03078127,STEP FORWARD EDUCATIONAL TRUST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1073443,GB-COH-03525552,POINT BLANK THEATRE COMPANY LTD,sameas,"Company Numbers for Charities"
GB-CHC-1073721,GB-COH-07282773,SOUTH BUCKINGHAMSHIRE RIDING FOR THE DISABLED ASSOCIATION,sameas,"Company Numbers for Charities"
GB-CHC-1074810,GB-COH-08555270,RIVERSIDE COMMUNITY ASSOCIATION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1075678,GB-COH-08169407,FOOTBALL UNITES RACISM DIVIDES EDUCATIONAL TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1076322,GB-COH-08865479,DALTON COMMUNITY ASSOCIATION,sameas,"Company Numbers for Charities"
GB-CHC-1076445,GB-COH-12460725,LAWRENCE HOME NURSING TEAM LTD,sameas,"Company Numbers for Charities"
GB-CHC-1076531,GB-COH-13083464,WESTMINSTER HOUSE YOUTH CLUB,sameas,"Company Numbers for Charities"
GB-CHC-1076670,GB-COH-10514105,SHA'AREI TSEDEK NORTH LONDON REFORM SYNAGOGUE,sameas,"Company Numbers for Charities"
GB-CHC-1077200,GB-COH-06595341,KARIS NEIGHBOUR SCHEME,sameas,"Company Numbers for Charities"
GB-CHC-1078145,GB-COH-11860045,THE CLAUDIA JONES ORGANISATION,sameas,"Company Numbers for Charities"
GB-CHC-1078631,GB-COH-11031147,FRIENDS OF KING ALFRED BUSES,sameas,"Company Numbers for Charities"
GB-CHC-1079027,GB-COH-09445502,BIDDESTONE VILLAGE HALL AND RECREATION TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1080237,GB-COH-03961909,RMIG ENDOWMENT RECREATION,sameas,"Company Numbers for Charities"
GB-CHC-1080913,GB-COH-11541630,ALLIANCE FOR AFRICAN ASSISTANCE,sameas,"Company Numbers for Charities"
GB-CHC-1081218,GB-COH-13077230,THE MEDITATION TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1081323,GB-COH-11238404,"MULTI-CULTURAL CENTRE, HOUNSLOW",sameas,"Company Numbers for Charities"
GB-CHC-1082603,GB-COH-13906100,PRESTON MUSLIM EDUCATION COUNCIL,sameas,"Company Numbers for Charities"
GB-CHC-1083228,GB-COH-13924874,EVERLASTING GRACE CHRISTIAN MINISTRY LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1084014,GB-COH-11594672,INSTITUTE OF BUSINESS ETHICS,sameas,"Company Numbers for Charities"
GB-CHC-1084149,GB-COH-12308923,GATEWAY WHEELERS,sameas,"Company Numbers for Charities"
GB-CHC-1084284,GB-COH-13415932,SOUTHWOLD MILLENNIUM FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1084322,GB-COH-05377787,"SECOND CHURCH OF CHRIST, SCIENTIST, LONDON",sameas,"Company Numbers for Charities"
GB-CHC-1084852,GB-COH-12643802,BRITISH SOCIETY OF INTERVENTIONAL RADIOLOGY,sameas,"Company Numbers for Charities"
GB-CHC-1086445,GB-COH-09119745,THE BRITANNIA ASSOCIATION,sameas,"Company Numbers for Charities"
GB-CHC-1086518,GB-COH-13083579,THE KPMG FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1086722,GB-COH-04172230,SPIRITUAL ASSEMBLY OF THE BAHA'IS OF SLOUGH,sameas,"Company Numbers for Charities"
GB-CHC-1087834,GB-COH-08390132,SIGHTLINES INITIATIVE LTD,sameas,"Company Numbers for Charities"
GB-CHC-1087948,GB-COH-12685667,LATTER-RAIN GOSPEL MINISTRIES LTD,sameas,"Company Numbers for Charities"
GB-CHC-1088047,GB-COH-07348408,BREAST CANCER UK LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1089981,GB-COH-09351488,HAWTHORN TREE COMMUNITY CHILDREN'S CENTRE,sameas,"Company Numbers for Charities"
GB-CHC-1090012,GB-COH-12962242,THE KING'S OUTREACH,sameas,"Company Numbers for Charities"
GB-CHC-1090243,GB-COH-13438082,GOD'S HOUSE INTERNATIONAL CENTRE LTD,sameas,"Company Numbers for Charities"
GB-CHC-1090992,GB-COH-11084296,THE ISLAMIC ASSOCIATION OF LINCOLN,sameas,"Company Numbers for Charities"
GB-CHC-1091893,GB-COH-00744877,SPIRITUAL ASSEMBLY OF THE BAHA'IS OF TORQUAY,sameas,"Company Numbers for Charities"
GB-CHC-1093279,GB-COH-10515657,STITCHES IN TIME LTD,sameas,"Company Numbers for Charities"
GB-CHC-1093740,GB-COH-09696841,JEREMY COLLER FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1094359,GB-COH-08838624,ACORNS (NORTH TYNESIDE),sameas,"Company Numbers for Charities"
GB-CHC-1094602,GB-COH-09891303,NORWICH CONSOLIDATED CHARITIES,sameas,"Company Numbers for Charities"
GB-CHC-1095344,GB-COH-04255904,OLDHAM BANGLADESHI ASSOCIATION,sameas,"Company Numbers for Charities"
GB-CHC-1095935,GB-COH-04524975,HILL TOP COMMUNITY CENTRE,sameas,"Company Numbers for Charities"
GB-CHC-1097518,GB-COH-07647873,ST MARGARET'S COMMUNITY PARTNERSHIP,sameas,"Company Numbers for Charities"
GB-CHC-1097647,GB-COH-09125897,ALAN AMONRA TRUST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1097657,GB-COH-08120372,BRADFORD CHINESE CHRISTIAN CHURCH,sameas,"Company Numbers for Charities"
GB-CHC-1097799,GB-COH-02392677,EVANGELICAL BROTHERHOOD CHURCH LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1098765,GB-COH-07463043,ORGANISATION CETACEA,sameas,"Company Numbers for Charities"
GB-CHC-1099440,GB-COH-06655295,"THE POTTERS HOUSE CHRISTIAN CHURCH, CROYDON",sameas,"Company Numbers for Charities"
GB-CHC-1099462,GB-COH-07271654,SOUTHERN HOLDERNESS RESOURCE CENTRE,sameas,"Company Numbers for Charities"
GB-CHC-1099998,GB-COH-05917877,THE EMMA MALTBY MEMORIAL FUND,sameas,"Company Numbers for Charities"
GB-CHC-1100246,GB-COH-05410815,AL-AIN INTERNATIONAL WELFARE TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1100259,GB-COH-09382127,ISLAMIC HELP,sameas,"Company Numbers for Charities"
GB-CHC-1100304,GB-COH-07467718,FAHAMU TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1101037,GB-COH-05400276,WARWICK PRE-SCHOOL,sameas,"Company Numbers for Charities"
GB-CHC-1102286,GB-COH-13444460,LIVINGSTONE HOUSE MOTHER OF THE HARVEST MINISTRIES LTD,sameas,"Company Numbers for Charities"
GB-CHC-1102469,GB-COH-07728133,THE TREES COMMUNITY ASSOCIATION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1103355,GB-COH-07181964,THE GREAT DIXTER CHARITABLE TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1103419,GB-COH-10973272,GRACE CHURCH NOTTINGHAM,sameas,"Company Numbers for Charities"
GB-CHC-1104067,GB-COH-04931655,ALI MEMORIAL CENTRE (AMC),sameas,"Company Numbers for Charities"
GB-CHC-1104662,GB-COH-05199047,COMMUNITIES WELFARE NETWORK,sameas,"Company Numbers for Charities"
GB-CHC-1104837,GB-COH-08351592,LIVERPOOL INTERNATIONAL NORDIC COMMUNITY,sameas,"Company Numbers for Charities"
GB-CHC-1104881,GB-COH-13021793,NASILPORE MUSLIM SOCIETY (UK) TRUST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1104969,GB-COH-10131128,NEWSTART 2 HOUSING LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1106565,GB-COH-12138281,REDEEMED CHRISTIAN CHURCH OF GOD THE CHAPEL OF COURAGE,sameas,"Company Numbers for Charities"
GB-CHC-1107020,GB-COH-05265071,CARING FOR EX OFFENDERS,sameas,"Company Numbers for Charities"
GB-CHC-1108609,GB-COH-10350759,THE ZOOLOGICAL SOCIETY OF HERTFORDSHIRE LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1110201,GB-COH-07621228,GLOBAL ALLIANCE OF CHURCHES ASSOCIATION (GACA) LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1110207,GB-COH-08255968,GREATHAM COMMUNITY ASSOCIATION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1111241,GB-COH-11652029,GAHU DRAMATIC ARTS,sameas,"Company Numbers for Charities"
GB-CHC-1111322,GB-COH-12893936,ASIAN SOCIAL & HUMANITARIAN ASSOCIATION LTD,sameas,"Company Numbers for Charities"
GB-CHC-1112039,GB-COH-10836298,PHOENIX DOMESTIC ABUSE SERVICES,sameas,"Company Numbers for Charities"
GB-CHC-1112146,GB-COH-13681511,SOMALI WELFARE TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1112462,GB-COH-08486648,ARMSTRONG SIDDELEY HERITAGE TRUST LTD,sameas,"Company Numbers for Charities"
GB-CHC-1113535,GB-COH-08090833,OPERATION IMPREZZA,sameas,"Company Numbers for Charities"
GB-CHC-1113809,GB-COH-07260229,MYOTUBULAR TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1113899,GB-COH-07490362,ACTIVE HOPE LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1115073,GB-COH-05427609,ECO-PARADISE TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1115104,GB-COH-07195995,KIDS TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1115180,GB-COH-13326555,AL HASSAN FOUNDATION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1115374,GB-COH-14003152,INTERNATIONAL ECO FUND,sameas,"Company Numbers for Charities"
GB-CHC-1116216,GB-COH-08545022,APEX TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1116352,GB-COH-08523283,AURORA ORCHESTRA,sameas,"Company Numbers for Charities"
GB-CHC-1116440,GB-COH-07444292,THE KAREN CLIFFORD SKIN CANCER CHARITY,sameas,"Company Numbers for Charities"
GB-CHC-1117357,GB-COH-09502121,THE BOOK BUS FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1117481,GB-COH-08085962,BANGLADESHI WOMEN'S ASSOCIATION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1118960,GB-COH-10836263,IN ANOTHER PLACE,sameas,"Company Numbers for Charities"
GB-CHC-1119406,GB-COH-14246202,ETHNIC VOICE UK LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1119482,GB-COH-12139980,GYE NYAME DEVELOPMENT FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1119492,GB-COH-08652312,THE FLICKA FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1119647,GB-COH-09244440,THE COMMONWEALTH EDUCATION TRUST LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1120160,GB-COH-08737168,SOMALI CULTURAL RESOURCE CENTRE,sameas,"Company Numbers for Charities"
GB-CHC-1120226,GB-COH-06107037,AL-NASIHA PREPARATORY SCHOOL LTD,sameas,"Company Numbers for Charities"
GB-CHC-1120388,GB-COH-08914724,CHANGES BRISTOL LTD,sameas,"Company Numbers for Charities"
GB-CHC-1120853,GB-COH-10095295,SAINTS COMMUNITY DEVELOPMENT FOUNDATION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1122285,GB-COH-10136706,AFRICAN PROMISE,sameas,"Company Numbers for Charities"
GB-CHC-1123102,GB-COH-08731570,THE BURBERRY FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1123338,GB-COH-12294010,MADANIA WELFARE TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1123646,GB-COH-04659458,ALL SAINTS HOUSE TRUST LTD,sameas,"Company Numbers for Charities"
GB-CHC-1123776,GB-COH-09857601,BOLTON DEMENTIA SUPPORT,sameas,"Company Numbers for Charities"
GB-CHC-1123909,GB-COH-05293247,CATHEDRAL INTERNATIONAL - ASSEMBLY OF GOD LTD,sameas,"Company Numbers for Charities"
GB-CHC-1124816,GB-COH-06454508,ROUGHAM ACORNS AND WOODLANDS LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1125408,GB-COH-09987898,WOODSIDE GREEN CHRISTIAN CENTRE,sameas,"Company Numbers for Charities"
GB-CHC-1125512,GB-COH-11832452,LIVELY MINDS,sameas,"Company Numbers for Charities"
GB-CHC-1125641,GB-COH-01894340,AUSTIN FRIARS,sameas,"Company Numbers for Charities"
GB-CHC-1125687,GB-COH-12325259,ASSOCIATION OF NHS CHARITIES,sameas,"Company Numbers for Charities"
GB-CHC-1125723,GB-COH-06483374,THE REDEEMED CHRISTIAN CHURCH OF GOD - VICTORY HOUSE LONDON,sameas,"Company Numbers for Charities"
GB-CHC-1125927,GB-COH-13639269,BRITSOM,sameas,"Company Numbers for Charities"
GB-CHC-1126016,GB-COH-07070051,ANDRHAL WELFARE TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1126135,GB-COH-13085346,THE FREE OXYGEN PROJECT LTD,sameas,"Company Numbers for Charities"
GB-CHC-1126224,GB-COH-12584181,AFROLATINO,sameas,"Company Numbers for Charities"
GB-CHC-1126479,GB-COH-09544512,THE ELMHURST FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1126780,GB-COH-07447459,CHURSTON FERRERS GRAMMAR SCHOOL,sameas,"Company Numbers for Charities"
GB-CHC-1126993,GB-COH-08013043,WINCHESTER ACTION ON CLIMATE CHANGE LTD,sameas,"Company Numbers for Charities"
GB-CHC-1127464,GB-COH-13404486,MINARET COMMUNITY CENTRE LTD,sameas,"Company Numbers for Charities"
GB-CHC-1127746,GB-COH-08370110,GROVE CHAPEL,sameas,"Company Numbers for Charities"
GB-CHC-1129169,GB-COH-11595189,GRACE COMMUNITY CHURCH BEDFORD,sameas,"Company Numbers for Charities"
GB-CHC-1130969,GB-COH-06689048,KINGS NORTON RESTORATION TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1131519,GB-COH-07775348,WESTBOURNE PARK BAPTIST CHURCH,sameas,"Company Numbers for Charities"
GB-CHC-1131740,GB-COH-10226729,HEALING EVERY NATION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1131801,GB-COH-11160609,REDEEMED CHRISTIAN CHURCH OF GOD DISCIPLESHIP CENTRE PORTSMOUTH LTD,sameas,"Company Numbers for Charities"
GB-CHC-1132110,GB-COH-07929633,SULGRAVE CLUB LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1133468,GB-COH-13677190,VICTORY OF FAITH CHRISTIAN CENTRE LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1133558,GB-COH-08612989,WALKING WITH THE WOUNDED,sameas,"Company Numbers for Charities"
GB-CHC-1134663,GB-COH-12672902,CELESTIAL CHURCH OF CHRIST ERITH PARISH LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1134765,GB-COH-11427888,COVENTRY SOMALI MUSLIM COMMUNITY TRUST,sameas,"Company Numbers for Charities"
GB-CHC-1135041,GB-COH-14165186,KINGDOM POWER INTERNATIONAL MINISTRIES,sameas,"Company Numbers for Charities"
GB-CHC-1135473,GB-COH-07262353,HTA SHEBA FOUNDATION UK LTD,sameas,"Company Numbers for Charities"
GB-CHC-1135544,GB-COH-10586083,COVENT GARDEN CHAMBER ORCHESTRA LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1135662,GB-COH-07666878,AHLEBAIT TV NETWORKS,sameas,"Company Numbers for Charities"
GB-CHC-1136594,GB-COH-14342158,FAMILIES AND BABIES (FAB) LTD,sameas,"Company Numbers for Charities"
GB-CHC-1137401,GB-COH-13435053,UNIVERSITY OF HUDDERSFIELD STUDENTS' UNION,sameas,"Company Numbers for Charities"
GB-CHC-1138093,GB-COH-12532982,UNIVERSITY OF SALFORD STUDENTS' UNION,sameas,"Company Numbers for Charities"
GB-CHC-1138186,GB-COH-10807853,NORTHUMBRIA STUDENTS' UNION,sameas,"Company Numbers for Charities"
GB-CHC-1138210,GB-COH-11939038,KENT UNION,sameas,"Company Numbers for Charities"
GB-CHC-1138288,GB-COH-11605966,FRESH GRACE GLOBAL CHRISTIAN CENTRE,sameas,"Company Numbers for Charities"
GB-CHC-1138622,GB-COH-10464111,LANCASTER UNIVERSITY STUDENTS' UNION,sameas,"Company Numbers for Charities"
GB-CHC-1139949,GB-COH-13867112,SUCCESS TEMPLE,sameas,"Company Numbers for Charities"
GB-CHC-1140275,GB-COH-13275949,OXFORD BROOKES STUDENTS' UNION LTD,sameas,"Company Numbers for Charities"
GB-CHC-1140476,GB-COH-11845885,GATEWAY NORTH EAST LTD,sameas,"Company Numbers for Charities"
GB-CHC-1140766,GB-COH-09626653,RUBYS FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1141201,GB-COH-08475916,HULL UNIVERSITY UNION LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1141297,GB-COH-06231434,LEEDS REFUGEE FORUM,sameas,"Company Numbers for Charities"
GB-CHC-1141526,GB-COH-07256948,THE LEARNED SOCIETY OF WALES,sameas,"Company Numbers for Charities"
GB-CHC-1141842,GB-COH-14125573,ASIAN RURAL FOUNDATION,sameas,"Company Numbers for Charities"
GB-CHC-1141944,GB-COH-08364261,GREAT BARTON FREE CHURCH LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1142086,GB-COH-07527196,EASTERN CHARITY NETWORK,sameas,"Company Numbers for Charities"
GB-CHC-1142158,GB-COH-10972293,LAWYERS FOR PALESTINIAN HUMAN RIGHTS,sameas,"Company Numbers for Charities"
GB-CHC-1142333,GB-COH-07556426,PADNELL PRE-SCHOOL,sameas,"Company Numbers for Charities"
GB-CHC-1142352,GB-COH-08544993,MIGRATION MUSEUM PROJECT,sameas,"Company Numbers for Charities"
GB-CHC-1142382,GB-COH-08619653,SOLENT STUDENTS' UNION,sameas,"Company Numbers for Charities"
GB-CHC-1142417,GB-COH-07627244,PROJECT MUSO,sameas,"Company Numbers for Charities"
GB-CHC-1142592,GB-COH-07676469,UNDER THE BRIDGE CHARITY LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1144166,GB-COH-13219616,KAFAALO FOUNDATION LTD,sameas,"Company Numbers for Charities"
GB-CHC-1144631,GB-COH-10626038,FLAME PENTECOSTAL CHURCH OF CHERUBIM & SERAPHIM MOVEMENT BIRMINGHAM UK LIMITED,sameas,"Company Numbers for Charities"
GB-CHC-1144960,GB-COH-11937134,UNIVERSITY OF CHICHESTER STUDENTS' UNION,sameas,"Company Numbers for Charities"
