org_id_a,org_id_b,org_name,relationship,source
GB-EDU-102620,GB-COH-02516633,CANBURY SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-102866,GB-COH-00621311,WOODFORD GREEN PREPARATORY SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-102923,GB-COH-08165744,ORLEANS PARK SCHOOL,sameas,Organisation company numbers
GB-EDU-102943,GB-COH-03475951,TWICKENHAM PREPARATORY SCHOOL,sameas,Organisation company numbers
GB-EDU-102946,GB-COH-06264434,HAMPTON SCHOOL,sameas,Organisation company numbers
GB-EDU-102998,GB-COH-07635432,CARSHALTON BOYS SPORTS COLLEGE,sameas,Organisation company numbers
GB-EDU-103007,GB-COH-07536970,WILSON'S SCHOOL,sameas,Organisation company numbers
GB-EDU-103012,GB-COH-07635448,WALLINGTON HIGH SCHOOL FOR GIRLS,sameas,Organisation company numbers
GB-EDU-103019,GB-COH-02151420,SEATON HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-103197,GB-COH-08055393,WARREN FARM PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-103203,GB-COH-08146396,GREENHOLM PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-103361,GB-COH-09108745,HILLSTONE PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-103376,GB-COH-08601624,TWICKENHAM PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-103378,GB-COH-09333191,GREEN MEADOW PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-103517,GB-COH-07698296,HOLYHEAD SCHOOL,sameas,Organisation company numbers
GB-EDU-103520,GB-COH-08496504,YARDLEYS SCHOOL,sameas,Organisation company numbers
GB-EDU-103535,GB-COH-07986921,BISHOP VESEY'S GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-103575,GB-COH-00634981,WEST HOUSE SCHOOL,sameas,Organisation company numbers
GB-EDU-103580,GB-COH-08502615,THE BLUE COAT SCHOOL BIRMINGHAM LIMITED,sameas,Organisation company numbers
GB-EDU-103876,GB-COH-01141571,ELMFIELD RUDOLF STEINER SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-104113,GB-COH-07687663,LODE HEATH SCHOOL,sameas,Organisation company numbers
GB-EDU-104115,GB-COH-07654164,HEART OF ENGLAND SCHOOL,sameas,Organisation company numbers
GB-EDU-104124,GB-COH-06337650,SOLIHULL SCHOOL,sameas,Organisation company numbers
GB-EDU-104386,GB-COH-09527057,HIGHFIELDS SCHOOL,sameas,Organisation company numbers
GB-EDU-104402,GB-COH-08918836,WOLVERHAMPTON GIRLS' HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-104411,GB-COH-06610261,WOLVERHAMPTON GRAMMAR SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-104718,GB-COH-08137421,ST FRANCIS XAVIER'S COLLEGE,sameas,Organisation company numbers
GB-EDU-104723,GB-COH-01260765,CARLETON HOUSE PREPARATORY SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-104949,GB-COH-07724342,FORMBY HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-104952,GB-COH-07761675,CHESTERFIELD HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-104953,GB-COH-07770687,RANGE HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-104954,GB-COH-07695504,BIRKDALE HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-105093,GB-COH-07672980,PRENTON HIGH SCHOOL FOR GIRLS,sameas,Organisation company numbers
GB-EDU-105098,GB-COH-07695736,WIRRAL GRAMMAR SCHOOL FOR GIRLS,sameas,Organisation company numbers
GB-EDU-105099,GB-COH-07697158,WEST KIRBY GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-105104,GB-COH-07652792,THE OLDERSHAW SCHOOL,sameas,Organisation company numbers
GB-EDU-105112,GB-COH-08332696,CALDAY GRANGE GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-105113,GB-COH-07734231,WIRRAL GRAMMAR SCHOOL FOR BOYS,sameas,Organisation company numbers
GB-EDU-105115,GB-COH-07952451,UPTON HALL SCHOOL FCJ,sameas,Organisation company numbers
