org_id_a,org_id_b,relationship,source
GB-COH-CE011991,GB-CHC-1175580,sameas,CIO Company Numbers
GB-COH-CE012370,GB-CHC-1174890,sameas,CIO Company Numbers
GB-COH-CE007252,GB-CHC-1168637,sameas,CIO Company Numbers
GB-COH-CE003301,GB-CHC-1159314,sameas,CIO Company Numbers
GB-COH-CE015528,GB-CHC-1180550,sameas,CIO Company Numbers
GB-COH-CE005268,GB-CHC-1165315,sameas,CIO Company Numbers
GB-COH-CE003831,GB-CHC-1161144,sameas,CIO Company Numbers
GB-COH-CE003704,GB-CHC-1160889,sameas,CIO Company Numbers
GB-COH-CE010166,GB-CHC-1172757,sameas,CIO Company Numbers
GB-COH-CE015548,GB-CHC-1180584,sameas,CIO Company Numbers
GB-COH-CE013360,GB-CHC-1177303,sameas,CIO Company Numbers
GB-COH-CE012852,GB-CHC-1176553,sameas,CIO Company Numbers
GB-COH-CE009473,GB-CHC-1170892,sameas,CIO Company Numbers
GB-COH-CE014971,GB-CHC-1179688,sameas,CIO Company Numbers
GB-COH-CE009749,GB-CHC-1172287,sameas,CIO Company Numbers
GB-COH-CE003176,GB-CHC-1159015,sameas,CIO Company Numbers
GB-COH-CE013291,GB-CHC-1177209,sameas,CIO Company Numbers
GB-COH-CE011130,GB-CHC-1173541,sameas,CIO Company Numbers
GB-COH-CE005232,GB-CHC-1165254,sameas,CIO Company Numbers
GB-COH-CE002835,GB-CHC-1160107,sameas,CIO Company Numbers
GB-COH-CE012738,GB-CHC-1176380,sameas,CIO Company Numbers
GB-COH-CE015125,GB-CHC-1179930,sameas,CIO Company Numbers
GB-COH-CE012528,GB-CHC-1176063,sameas,CIO Company Numbers
GB-COH-CE002339,GB-CHC-1157987,sameas,CIO Company Numbers
GB-COH-CE015351,GB-CHC-1180271,sameas,CIO Company Numbers
GB-COH-CE013370,GB-CHC-1177317,sameas,CIO Company Numbers
GB-COH-CE010842,GB-CHC-1174365,sameas,CIO Company Numbers
GB-COH-CE015356,GB-CHC-1180282,sameas,CIO Company Numbers
GB-COH-CE013234,GB-CHC-1177097,sameas,CIO Company Numbers
GB-COH-CE006932,GB-CHC-1166064,sameas,CIO Company Numbers
GB-COH-CE001533,GB-CHC-1155044,sameas,CIO Company Numbers
GB-COH-CE011087,GB-CHC-1173467,sameas,CIO Company Numbers
GB-COH-CE002207,GB-CHC-1157703,sameas,CIO Company Numbers
GB-COH-CE009160,GB-CHC-1170403,sameas,CIO Company Numbers
GB-COH-CE004145,GB-CHC-1161702,sameas,CIO Company Numbers
GB-COH-CE014488,GB-CHC-1178689,sameas,CIO Company Numbers
GB-COH-CE000733,GB-CHC-1155557,sameas,CIO Company Numbers
GB-COH-CE005629,GB-CHC-1164415,sameas,CIO Company Numbers
GB-COH-CE014691,GB-CHC-1179276,sameas,CIO Company Numbers
GB-COH-CE011056,GB-CHC-1173399,sameas,CIO Company Numbers
GB-COH-CE002185,GB-CHC-1157649,sameas,CIO Company Numbers
GB-COH-CE015655,GB-CHC-1180760,sameas,CIO Company Numbers
GB-COH-CE015937,GB-CHC-1181199,sameas,CIO Company Numbers
GB-COH-CE002444,GB-CHC-1159550,sameas,CIO Company Numbers
GB-COH-CE000505,GB-CHC-1152566,sameas,CIO Company Numbers
GB-COH-CE010308,GB-CHC-1171637,sameas,CIO Company Numbers
GB-COH-CE001521,GB-CHC-1155001,sameas,CIO Company Numbers
GB-COH-CE009733,GB-CHC-1172251,sameas,CIO Company Numbers
GB-COH-CE014406,GB-CHC-1178903,sameas,CIO Company Numbers
GB-COH-CE013702,GB-CHC-1177797,sameas,CIO Company Numbers
GB-COH-CE002468,GB-CHC-1159599,sameas,CIO Company Numbers
GB-COH-CE004929,GB-CHC-1162485,sameas,CIO Company Numbers
GB-COH-CE012395,GB-CHC-1175851,sameas,CIO Company Numbers
GB-COH-CE002743,GB-CHC-1160634,sameas,CIO Company Numbers
GB-COH-CE001654,GB-CHC-1158295,sameas,CIO Company Numbers
GB-COH-CE010423,GB-CHC-1171805,sameas,CIO Company Numbers
GB-COH-CE015978,GB-CHC-1181259,sameas,CIO Company Numbers
GB-COH-CE005243,GB-CHC-1165277,sameas,CIO Company Numbers
GB-COH-CE015998,GB-CHC-1181285,sameas,CIO Company Numbers
GB-COH-CE013690,GB-CHC-1177781,sameas,CIO Company Numbers
GB-COH-CE001510,GB-CHC-1154972,sameas,CIO Company Numbers
GB-COH-CE011901,GB-CHC-1175429,sameas,CIO Company Numbers
GB-COH-CE007652,GB-CHC-1167872,sameas,CIO Company Numbers
GB-COH-CE003942,GB-CHC-1161340,sameas,CIO Company Numbers
GB-COH-CE007868,GB-CHC-1169244,sameas,CIO Company Numbers
GB-COH-CE002833,GB-CHC-1160105,sameas,CIO Company Numbers
GB-COH-CE003490,GB-CHC-1162053,sameas,CIO Company Numbers
GB-COH-CE006057,GB-CHC-1166228,sameas,CIO Company Numbers
GB-COH-CE001088,GB-CHC-1156209,sameas,CIO Company Numbers
GB-COH-CE001727,GB-CHC-1158447,sameas,CIO Company Numbers
GB-COH-CE005953,GB-CHC-1165013,sameas,CIO Company Numbers
GB-COH-CE007873,GB-CHC-1169250,sameas,CIO Company Numbers
GB-COH-CE015575,GB-CHC-1150394,sameas,CIO Company Numbers
GB-COH-CE005080,GB-CHC-1162749,sameas,CIO Company Numbers
GB-COH-CE001101,GB-CHC-1156239,sameas,CIO Company Numbers
GB-COH-CE009124,GB-CHC-1170333,sameas,CIO Company Numbers
GB-COH-CE015757,GB-CHC-1180929,sameas,CIO Company Numbers
GB-COH-CE007809,GB-CHC-1168131,sameas,CIO Company Numbers
GB-COH-CE005171,GB-CHC-1162900,sameas,CIO Company Numbers
GB-COH-CE004681,GB-CHC-1163546,sameas,CIO Company Numbers
GB-COH-CE001240,GB-CHC-1154089,sameas,CIO Company Numbers
GB-COH-CE010567,GB-CHC-1172041,sameas,CIO Company Numbers
GB-COH-CE005075,GB-CHC-1162738,sameas,CIO Company Numbers
GB-COH-CE000640,GB-CHC-1155260,sameas,CIO Company Numbers
GB-COH-CE001155,GB-CHC-1156394,sameas,CIO Company Numbers
GB-COH-CE008979,GB-CHC-1171415,sameas,CIO Company Numbers
GB-COH-CE007862,GB-CHC-1169229,sameas,CIO Company Numbers
GB-COH-CE001776,GB-CHC-1158572,sameas,CIO Company Numbers
GB-COH-CE012661,GB-CHC-1176274,sameas,CIO Company Numbers
GB-COH-CE004793,GB-CHC-1163751,sameas,CIO Company Numbers
GB-COH-CE009003,GB-CHC-1171455,sameas,CIO Company Numbers
GB-COH-CE000552,GB-CHC-1152750,sameas,CIO Company Numbers
GB-COH-CE002852,GB-CHC-1160138,sameas,CIO Company Numbers
GB-COH-CE008379,GB-CHC-1169883,sameas,CIO Company Numbers
GB-COH-CE005134,GB-CHC-1162835,sameas,CIO Company Numbers
GB-COH-CE010062,GB-CHC-1172587,sameas,CIO Company Numbers
GB-COH-CE000493,GB-CHC-1152515,sameas,CIO Company Numbers
GB-COH-CE005306,GB-CHC-1165385,sameas,CIO Company Numbers
GB-COH-CE008892,GB-CHC-1171266,sameas,CIO Company Numbers
GB-COH-CE002253,GB-CHC-1157790,sameas,CIO Company Numbers
GB-COH-CE012946,GB-CHC-1176698,sameas,CIO Company Numbers
GB-COH-CE003878,GB-CHC-1161237,sameas,CIO Company Numbers
GB-COH-CE002889,GB-CHC-1160215,sameas,CIO Company Numbers
GB-COH-CE010438,GB-CHC-1171830,sameas,CIO Company Numbers
GB-COH-CE015785,GB-CHC-1180964,sameas,CIO Company Numbers
GB-COH-CE000683,GB-CHC-1155406,sameas,CIO Company Numbers
GB-COH-CE004710,GB-CHC-1163593,sameas,CIO Company Numbers
GB-COH-CE007500,GB-CHC-1167621,sameas,CIO Company Numbers
GB-COH-CE006617,GB-CHC-1166959,sameas,CIO Company Numbers
GB-COH-CE000784,GB-CHC-1155721,sameas,CIO Company Numbers
GB-COH-CE002014,GB-CHC-1157248,sameas,CIO Company Numbers
GB-COH-CE014282,GB-CHC-1178619,sameas,CIO Company Numbers
GB-COH-CE006504,GB-CHC-1166755,sameas,CIO Company Numbers
GB-COH-CE006313,GB-CHC-1167053,sameas,CIO Company Numbers
GB-COH-CE010343,GB-CHC-1171691,sameas,CIO Company Numbers
GB-COH-CE015848,GB-CHC-1181069,sameas,CIO Company Numbers
GB-COH-CE003344,GB-CHC-1159389,sameas,CIO Company Numbers
GB-COH-CE005045,GB-CHC-1162686,sameas,CIO Company Numbers
GB-COH-CE004739,GB-CHC-1163651,sameas,CIO Company Numbers
GB-COH-CE003385,GB-CHC-1161872,sameas,CIO Company Numbers
GB-COH-CE009823,GB-CHC-1172403,sameas,CIO Company Numbers
GB-COH-CE012380,GB-CHC-1174905,sameas,CIO Company Numbers
GB-COH-CE011127,GB-CHC-1173538,sameas,CIO Company Numbers
GB-COH-CE015711,GB-CHC-1180863,sameas,CIO Company Numbers
GB-COH-CE002672,GB-CHC-1160512,sameas,CIO Company Numbers
GB-COH-CE006240,GB-CHC-1166535,sameas,CIO Company Numbers
GB-COH-CE009350,GB-CHC-1170705,sameas,CIO Company Numbers
GB-COH-CE014261,GB-CHC-1178591,sameas,CIO Company Numbers
GB-COH-CE013056,GB-CHC-1176867,sameas,CIO Company Numbers
GB-COH-CE008589,GB-CHC-1168834,sameas,CIO Company Numbers
GB-COH-CE006526,GB-CHC-1166796,sameas,CIO Company Numbers
